,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(1.3163990095299307+0j),(0.9396542460908403+0j),(1.3163990095299307+0j),(0.9396542460908403+0j),0j,0j
1,(0.0861948283565342+0.056439534364822505j),(-0.09390844344675041+0.0156807487595515j),(0.10302897395747651+0j),(0.09520862162772706+0j),(0.579735349275646+0j),(2.976139987991714+0j)
2,(0.09231110084661664-0.16390189488271567j),(0.009441984440516415-0.3683250560916951j),(0.18810946410443843+0j),(0.36844605848770495+0j),(-1.05786807836412+0j),(-1.545167016936414+0j)
3,(0.13742953662794322+0.01806170888583468j),(0.1623811441419954-0.3820090551498819j),(0.13861133743546314+0j),(0.415088610045336+0j),(0.1306762947682227+0j),(-1.1688651595543507+0j)
4,(-0.10890596372553679+0.17953484350373738j),(-0.36671502947666684-0.06050916365304618j),(0.20998397311913927+0j),(0.371673609138534+0j),(2.1160551606574325+0j),(-2.978062892235197+0j)
5,(0.11275358116931239-5.204170427930421e-18j),(-0.20466278452443384+2.7755575615628914e-17j),(0.11275358116931239+0j),(0.20466278452443384+0j),(-4.6155256214130924e-17+0j),(3.141592653589793+0j)
6,(-0.10890596372553679-0.17953484350373738j),(-0.36671502947666684+0.06050916365304618j),(0.20998397311913927+0j),(0.371673609138534+0j),(-2.1160551606574325+0j),(2.978062892235197+0j)
7,(0.13742953662794322-0.01806170888583468j),(0.16238114414199536+0.3820090551498819j),(0.13861133743546314+0j),(0.415088610045336+0j),(-0.1306762947682227+0j),(1.1688651595543509+0j)
8,(0.09231110084661664+0.16390189488271567j),(0.009441984440516415+0.3683250560916951j),(0.18810946410443843+0j),(0.36844605848770495+0j),(1.05786807836412+0j),(1.545167016936414+0j)
9,(0.08619482835653422-0.056439534364822505j),(-0.09390844344675041-0.015680748759551555j),(0.10302897395747652+0j),(0.09520862162772707+0j),(-0.579735349275646+0j),(-2.9761399879917136+0j)
