,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(0.941580828575957+0j),(1.5625530405444161+0j),(0.941580828575957+0j),(1.5625530405444161+0j),0j,0j
1,(0.22528974851041586-0.0025491553117562293j),(0.0513765081775652-0.37166435782464685j),(0.22530416990524138+0j),(0.37519853473824566+0j),(-0.011314525174887272+0j),(-1.4334332321158834+0j)
2,(-0.004013456516928748-0.07864961416813981j),(0.029404345642848773-0.15690103952280232j),(0.07875195008385848+0j),(0.1596325522755935+0j),(-1.6217816785767607+0j),(-1.3855382658222348+0j)
3,(-0.02315907283573998+0.24959926724181772j),(-0.10659494268567796+0.018620672318083537j),(0.2506713722431491+0j),(0.10820910887601104+0j),(1.6633164491655714+0j),(2.9686514165138917+0j)
4,(-0.029742907053209033-0.06579070881022747j),(0.1959365460687137-0.15723897096384845j),(0.07220150888816641+0j),(0.2512274349570666+0j),(-1.9953817075815232+0j),(-0.6762631415736798+0j)
5,(0.11945179526937792+1.3877787807814457e-17j),(0.5166276205879922+2.7755575615628914e-17j),(0.11945179526937792+0j),(0.5166276205879922+0j),(1.1617898062158382e-16+0j),(5.372452906029165e-17+0j)
6,(-0.029742907053209033+0.06579070881022747j),(0.1959365460687137+0.15723897096384845j),(0.07220150888816641+0j),(0.2512274349570666+0j),(1.9953817075815232+0j),(0.6762631415736798+0j)
7,(-0.023159072835739994-0.24959926724181775j),(-0.10659494268567796-0.01862067231808351j),(0.25067137224314917+0j),(0.10820910887601104+0j),(-1.6633164491655714+0j),(-2.9686514165138917+0j)
8,(-0.004013456516928748+0.07864961416813981j),(0.029404345642848773+0.15690103952280232j),(0.07875195008385848+0j),(0.1596325522755935+0j),(1.6217816785767607+0j),(1.3855382658222348+0j)
9,(0.22528974851041583+0.0025491553117562293j),(0.05137650817756517+0.3716643578246468j),(0.22530416990524135+0j),(0.3751985347382456+0j),(0.011314525174887274+0j),(1.4334332321158834+0j)
