,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(0.5973858037646472+0j),(1.4456474481578239+0j),(0.5973858037646472+0j),(1.4456474481578239+0j),0j,0j
1,(-0.07632510711378745+0.09163501001518859j),(-0.14337222856467946-0.3042425089871855j),(0.11925811098795268+0j),(0.3363318304865306+0j),(2.265293676630269+0j),(-2.011175032336883+0j)
2,(0.11210586226877631+0.13390859503810143j),(0.016428023587995277+0.16376614690787533j),(0.17464030514203782+0j),(0.16458806406316204+0j),(0.8737910150652729+0j),(1.470816875548405+0j)
3,(0.06409309091599283+0.13174151118243557j),(0.16710192124354087-0.18197740707772636j),(0.14650511960951235+0j),(0.2470603747467713+0j),(1.1180017367215447+0j),(-0.8279858798565881+0j)
4,(-0.39623563362378506+0.08478919146441809j),(-0.0402606802547871+0.12511634090307228j),(0.4052059776736175+0j),(0.13143447468435365+0j),(2.9307851383022956+0j),(1.8821184841012781+0j)
5,(0.024464032395589235+1.3877787807814457e-17j),(-0.047459385357722775+2.7755575615628914e-17j),(0.024464032395589235+0j),(0.047459385357722775+0j),(5.672731127643767e-16+0j),(3.1415926535897927+0j)
6,(-0.39623563362378506-0.08478919146441809j),(-0.0402606802547871-0.12511634090307228j),(0.4052059776736175+0j),(0.13143447468435365+0j),(-2.9307851383022956+0j),(-1.8821184841012781+0j)
7,(0.06409309091599283-0.1317415111824356j),(0.16710192124354084+0.1819774070777264j),(0.14650511960951237+0j),(0.2470603747467713+0j),(-1.1180017367215447+0j),(0.8279858798565883+0j)
8,(0.11210586226877631-0.13390859503810143j),(0.016428023587995277-0.16376614690787533j),(0.17464030514203782+0j),(0.16458806406316204+0j),(-0.8737910150652729+0j),(-1.470816875548405+0j)
9,(-0.07632510711378743-0.09163501001518856j),(-0.14337222856467943+0.30424250898718547j),(0.11925811098795265+0j),(0.33633183048653054+0j),(-2.265293676630269+0j),(2.011175032336883+0j)
