,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(0.7354625010319212+0j),(1.4233308853397881+0j),(0.7354625010319212+0j),(1.4233308853397881+0j),0j,0j
1,(0.08499414754105752+0.00157140046696529j),(0.39308142830573195+0.16487187074397383j),(0.08500867259085178+0j),(0.42625783634027414+0j),(0.01848623116401951+0j),(0.3971471006548005+0j)
2,(-0.09513877453916411-0.3176257589202829j),(-0.10767083602632987-0.1117637675670177j),(0.33156825715152466+0j),(0.15519068487310433+0j),(-1.8618228290745986+0j),(-2.337544482744134+0j)
3,(-0.14352486333605022+0.03311963671378723j),(-0.004458982248071092-0.06952121119100596j),(0.14729662837853805+0j),(0.06966406052013524+0j),(2.9148036329857843+0j),(-1.6348470367142807+0j)
4,(-0.16703391004750176-0.2680649884910483j),(0.12364007911914318+0.32512173250042553j),(0.3158467431531672+0j),(0.3478376203182546+0j),(-2.1280352119220423+0j),(1.207397181627662+0j)
5,(0.2959880783888666-3.469446951953614e-18j),(0.18441536460127922-6.938893903907228e-18j),(0.2959880783888666+0j),(0.18441536460127922+0j),(-1.1721576662271798e-17+0j),(-3.7626441370054344e-17+0j)
6,(-0.16703391004750176+0.2680649884910483j),(0.12364007911914318-0.32512173250042553j),(0.3158467431531672+0j),(0.3478376203182546+0j),(2.1280352119220423+0j),(-1.207397181627662+0j)
7,(-0.1435248633360502-0.03311963671378723j),(-0.004458982248071078+0.06952121119100599j),(0.14729662837853802+0j),(0.06966406052013527+0j),(-2.9148036329857843+0j),(1.6348470367142804+0j)
8,(-0.09513877453916411+0.3176257589202829j),(-0.10767083602632987+0.1117637675670177j),(0.33156825715152466+0j),(0.15519068487310433+0j),(1.8618228290745986+0j),(2.337544482744134+0j)
9,(0.08499414754105752-0.00157140046696529j),(0.393081428305732-0.16487187074397383j),(0.08500867259085178+0j),(0.42625783634027414+0j),(-0.01848623116401951+0j),(-0.39714710065480047+0j)
