,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(1.3085280931973102+0j),(1.3131999639485277+0j),(1.3085280931973102+0j),(1.3131999639485277+0j),0j,0j
1,(-0.042259361298057525+0.13529621461232894j),(0.44242189746507965-0.06694899043945722j),(0.14174244003030684+0j),(0.447458716171072+0j),(1.8735417645143249+0j),(-0.15018442667095228+0j)
2,(0.20242552738456154+0.07884480432769898j),(-0.027719284958752477-0.2455325099103656j),(0.2172385723263505+0j),(0.24709223415864026+0j),(0.3714222737179075+0j),(-1.6832149020372997+0j)
3,(0.12432714388254526+0.04735126288435593j),(0.21714224087633585-0.08630769164197842j),(0.13303901985032246+0j),(0.2336659376318326+0j),(0.363898469474798+0j),(-0.3783240985127315+0j)
4,(-0.1109693668085433-0.103830425459518j),(0.11672218311455823-0.14618973937336002j),(0.15197025242129972+0j),(0.18707086338892914+0j),(-2.3894175882557844+0j),(-0.8970138131034787+0j)
5,(-0.16413556516897543+6.938893903907228e-18j),(0.1607909774229269+1.3877787807814457e-17j),(0.16413556516897543+0j),(0.1607909774229269+0j),(3.141592653589793+0j),(8.630949341959563e-17+0j)
6,(-0.1109693668085433+0.103830425459518j),(0.11672218311455823+0.14618973937336002j),(0.15197025242129972+0j),(0.18707086338892914+0j),(2.3894175882557844+0j),(0.8970138131034787+0j)
7,(0.12432714388254522-0.04735126288435592j),(0.2171422408763359+0.08630769164197843j),(0.13303901985032243+0j),(0.2336659376318327+0j),(-0.3638984694747981+0j),(0.37832409851273147+0j)
8,(0.20242552738456154-0.07884480432769898j),(-0.027719284958752477+0.2455325099103656j),(0.2172385723263505+0j),(0.24709223415864026+0j),(-0.3714222737179075+0j),(1.6832149020372997+0j)
9,(-0.04225936129805751-0.13529621461232896j),(0.44242189746507965+0.06694899043945719j),(0.14174244003030687+0j),(0.447458716171072+0j),(-1.8735417645143249+0j),(0.15018442667095222+0j)
