,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(1.7126670062574143+0j),(1.474687758454946+0j),(1.7126670062574143+0j),(1.474687758454946+0j),0j,0j
1,(-0.30532964430596277-0.39105207713550094j),(0.02291328628718136-0.0319007453900845j),(0.4961329647624672+0j),(0.03927691745696613+0j),(-2.2337137515835006+0j),(-0.9479148502068022+0j)
2,(-0.08522113940149623-0.055507330771863934j),(0.3425364963824382-0.07783001342357775j),(0.10170401354079575+0j),(0.35126736589593743+0j),(-2.5642810003458805+0j),(-0.2234233280683832+0j)
3,(0.30048426978474946-0.001285931362224546j),(0.20361048488880235-0.33890368876321886j),(0.3004870213628909+0j),(0.39536431277237194+0j),(-0.004279503592281488+0j),(-1.02979498079067+0j)
4,(0.389801642007236-0.1390138526819512j),(-0.37242935834776186+0.03709240871821472j),(0.4138480051287146+0j),(0.3742719248672611+0j),(-0.34256650566670915+0j),(3.0423241916370074+0j)
5,(-0.41074143186454953+1.3877787807814457e-17j),(0.0156730171060126+2.7755575615628914e-17j),(0.41074143186454953+0j),(0.0156730171060126+0j),(3.141592653589793+0j),(1.7709146508224709e-15+0j)
6,(0.389801642007236+0.1390138526819512j),(-0.37242935834776186-0.03709240871821472j),(0.4138480051287146+0j),(0.3742719248672611+0j),(0.34256650566670915+0j),(-3.0423241916370074+0j)
7,(0.30048426978474946+0.00128593136222456j),(0.20361048488880235+0.33890368876321886j),(0.3004870213628909+0j),(0.39536431277237194+0j),(0.004279503592281534+0j),(1.02979498079067+0j)
8,(-0.08522113940149623+0.055507330771863934j),(0.3425364963824382+0.07783001342357775j),(0.10170401354079575+0j),(0.35126736589593743+0j),(2.5642810003458805+0j),(0.2234233280683832+0j)
9,(-0.3053296443059627+0.39105207713550094j),(0.02291328628718138+0.031900745390084445j),(0.49613296476246715+0j),(0.0392769174569661+0j),(2.2337137515835006+0j),(0.9479148502068009+0j)
