,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(1.0133085501446066+0j),(1.4761750017619069+0j),(1.0133085501446066+0j),(1.4761750017619069+0j),0j,0j
1,(0.15130250595878628-0.07663096228546867j),(0.14565811651228194+0.09970662694118076j),(0.1696017473088219+0j),(0.1765154337781637+0j),(-0.46881431603794343+0j),(0.6002644022624937+0j)
2,(0.08369879913330552-0.10896593968004648j),(-0.27747244092909096-0.01429855083127185j),(0.13740110984527365+0j),(0.27784060903874785+0j),(-0.9157996028012648+0j),(-3.0901067677568927+0j)
3,(-0.45795904604416904-0.029777467185529788j),(-0.1767943173515278-0.21390044550386686j),(0.45892612194738996+0j),(0.2775060922476215+0j),(-3.0766619388648273+0j),(-2.2615037919508203+0j)
4,(0.27902944293849635+0.051498677727845464j),(-0.3647731265513593-0.2877103495586497j),(0.28374203748173105+0j),(0.4645822630032429+0j),(0.18250977218911574+0j),(-2.4737567382277668+0j)
5,(-0.05658501610034933+0j),(-0.07620549868729398+0j),(0.05658501610034933+0j),(0.07620549868729398+0j),(3.141592653589793+0j),(3.141592653589793+0j)
6,(0.27902944293849635-0.051498677727845464j),(-0.3647731265513593+0.2877103495586497j),(0.28374203748173105+0j),(0.4645822630032429+0j),(-0.18250977218911574+0j),(2.4737567382277668+0j)
7,(-0.4579590460441691+0.029777467185529788j),(-0.17679431735152779+0.2139004455038669j),(0.45892612194739+0j),(0.27750609224762157+0j),(3.0766619388648273+0j),(2.26150379195082+0j)
8,(0.08369879913330552+0.10896593968004648j),(-0.27747244092909096+0.01429855083127185j),(0.13740110984527365+0j),(0.27784060903874785+0j),(0.9157996028012648+0j),(3.0901067677568927+0j)
9,(0.15130250595878625+0.07663096228546867j),(0.14565811651228192-0.09970662694118079j),(0.16960174730882188+0j),(0.1765154337781637+0j),(0.4688143160379435+0j),(-0.6002644022624939+0j)
