,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(1.5156383115092833+0j),(1.420423512793937+0j),(1.5156383115092833+0j),(1.420423512793937+0j),0j,0j
1,(-0.10613321396956527-0.1763764251758559j),(0.275487495294654-0.23885170832067903j),(0.20584679367268224+0j),(0.36461417777073446+0j),(-2.1124961876622455+0j),(-0.7142894148657178+0j)
2,(-0.17260498621405895+0.1691681348521103j),(-0.24161980671512617-0.17083233242063492j),(0.24168231030693424+0j),(0.29591183956937117+0j),(2.3662500952415386+0j),(-2.5261644640312984+0j)
3,(-0.21923403500933117+0.07877269938716239j),(0.3451263387369475-0.3822336435061065j),(0.23295643428592586+0j),(0.5149900464260678+0j),(2.796649181116146+0j),(-0.8363703959870015+0j)
4,(-0.17439306374448835-0.046623551332963226j),(0.08546594123098289+0.05324425311805602j),(0.18051785568493392+0j),(0.10069447651483888+0j),(-2.8803547276469725+0j),(0.557151152815865+0j)
5,(-0.019043396060341583+0j),(-0.14439823870513163+2.7755575615628914e-17j),(0.019043396060341583+0j),(0.14439823870513163+0j),(3.141592653589793+0j),(3.141592653589793+0j)
6,(-0.17439306374448835+0.046623551332963226j),(0.08546594123098289-0.05324425311805602j),(0.18051785568493392+0j),(0.10069447651483888+0j),(2.8803547276469725+0j),(-0.557151152815865+0j)
7,(-0.21923403500933114-0.07877269938716241j),(0.3451263387369474+0.38223364350610656j),(0.23295643428592586+0j),(0.5149900464260678+0j),(-2.7966491811161456+0j),(0.8363703959870017+0j)
8,(-0.17260498621405895-0.1691681348521103j),(-0.24161980671512617+0.17083233242063492j),(0.24168231030693424+0j),(0.29591183956937117+0j),(-2.3662500952415386+0j),(2.5261644640312984+0j)
9,(-0.1061332139695653+0.17637642517585586j),(0.27548749529465405+0.23885170832067898j),(0.20584679367268224+0j),(0.36461417777073446+0j),(2.112496187662246+0j),(0.7142894148657176+0j)
