,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(1.2136055025940118+0j),(1.31034268400367+0j),(1.2136055025940118+0j),(1.31034268400367+0j),0j,0j
1,(-0.23764594408192524+0.026675907131928772j),(0.2837229181484845+0.24448543854804086j),(0.2391384510276439+0j),(0.37452880255691884+0j),(3.0298099505400704+0j),(0.7112502544169834+0j)
2,(-0.09498469252652214-0.015108479928734018j),(-0.1867872188642462-0.21342123785471473j),(0.09617878134035027+0j),(0.2836160959791925+0j),(-2.983851857282779+0j),(-2.2897421140694467+0j)
3,(-0.173407021274475+0.21032072791028253j),(-0.15919878813750674-0.2855776200961528j),(0.27258907464533005+0j),(0.3269538671498371+0j),(2.260291943475662+0j),(-2.0793507756296314+0j)
4,(0.032638120440337454+0.09397189714094123j),(0.20005091424523178+0.22515590219848106j),(0.09947846178015426+0j),(0.3011902199361145+0j),(1.2365129159785415+0j),(0.8443715297049106+0j)
5,(-0.23768016665421227+0j),(-0.18793619996335653+2.7755575615628914e-17j),(0.23768016665421227+0j),(0.18793619996335653+0j),(3.141592653589793+0j),(3.141592653589793+0j)
6,(0.032638120440337454-0.09397189714094123j),(0.20005091424523178-0.22515590219848106j),(0.09947846178015426+0j),(0.3011902199361145+0j),(-1.2365129159785415+0j),(-0.8443715297049106+0j)
7,(-0.173407021274475-0.21032072791028253j),(-0.1591987881375067+0.28557762009615273j),(0.27258907464533005+0j),(0.32695386714983704+0j),(-2.260291943475662+0j),(2.0793507756296314+0j)
8,(-0.09498469252652214+0.015108479928734018j),(-0.1867872188642462+0.21342123785471473j),(0.09617878134035027+0j),(0.2836160959791925+0j),(2.983851857282779+0j),(2.2897421140694467+0j)
9,(-0.23764594408192524-0.026675907131928772j),(0.2837229181484845-0.2444854385480409j),(0.2391384510276439+0j),(0.37452880255691884+0j),(-3.0298099505400704+0j),(-0.7112502544169835+0j)
