eegRawValue
9
-292
307
107
616
-280
-120
109
10
-70
88
-2113
1791
-261
12
122
-262
-22
19
50
20
-262
68
-106
-684
756
-500
-250
38
40
343
4
32
106
331
-212
87
-340
-375
-253
19
84
72
-306
-55
92
48
119
16
-324
51
26
31
42
-279
-132
41
3
22
-409
58
-358
261
30
6
-346
116
5
58
86
-305
4
20
53
-280
-348
71
-323
117
82
-383
-103
66
35
13
8
-361
-274
120
-344
42
76
87
-333
-296
-88
-279
-252
285
-270
-78
-273
38
-221
-90
44
-323
-306
18
-102
-297
55
-326
-96
137
3
1793
-2060
9
-92
-1912
2
124
17
-383
-105
86
65
48
106
26
72
786
-290
75
-476
-102
370
-492
-296
17
-394
-269
64
-118
83
50
84
56
60
-306
-220
-332
71
27
48
100
-904
101
1
56
56
76
68
-136
66
-276
-257
23
50
50
676
83
-338
-94
-242
108
33
-152
60
27
82
100
-130
4
-273
32
93
-278
99
-118
102
409
1537
-660
214
-275
19
88
-302
-317
-297
41
-842
-322
-1115
708
-285
91
66
291
-323
49
-297
102
-296
42
-334
-183
-270
-139
-308
-380
0
92
-294
-286
-278
103
-116
72
97
374
-83
-72
514
-295
-58
74
49
50
74
-128
8
40
120
8
108
34
-105
-95
106
115
-349
-122
111
-93
-283
-258
-583
-297
-566
-367
1
71
-262
37
-120
32
57
68
3
-311
43
18
36
-339
-282
33
-262
96
3
104
-561
-342
81
122
-274
50
-116
1
18
-69
-63
49
18
33
162
109
-76
-53
-90
-269
90
119
49
-317
-15
-262
-70
18
33
16
-266
56
-122
-124
34
102
-103
40
786
90
104
98
-108
68
39
-128
6
-257
9
63
116
76
35
2
0
60
80
9
41
33
-302
-200
-178
58
210
-332
359
0
-347
-351
-638
-328
44
99
67
27
-569
-312
88
84
-106
80
-283
32
70
2
48
83
69
68
49
34
-110
-92
67
70
90
-330
280
48
85
32
-196
-364
530
-359
200
76
109
42
-284
-265
4
-269
-310
101
71
-309
-38
74
122
34
28
-125
88
-360
-291
77
4
119
7
75
-348
-201
34
44
105
28
-264
32
67
-274
43
-273
-279
84
-340
81
89
22
96
116
-260
-284
-296
72
125
-284
-250
-261
6
13
-300
70
92
-293
-313
-40
20
601
256
-258
116
25
-557
-299
105
42
16
57
-296
-194
101
52
104
45
-266
114
106
-264
-96
86
50
41
-341
-305
85
-88
-216
-286
-311
-279
26
26
109
-281
80
-76
10
-234
-24
6
70
0
12
32
74
37
45
-264
-119
376
18
99
48
-262
-306
70
6
