,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(0.6349555352009508+0j),(1.411235193319038+0j),(0.6349555352009508+0j),(1.411235193319038+0j),0j,0j
1,(0.16179384526927076-0.09730227604465089j),(-0.1619747632680724+0.15138866958645228j),(0.18879878519335386+0j),(0.22170781045083665+0j),(-0.5414458138270906+0j),(2.3899638080391807+0j)
2,(0.05760959933218136-0.3654469965992776j),(-0.08294834633426434+0.0072379235193833075j),(0.3699599616967313+0j),(0.0832635316117537+0j),(-1.4144415722051051+0j),(3.054554906960286+0j)
3,(-0.14197353209637276+0.08594609876150595j),(-0.06279927450665565-0.036806289309452705j),(0.16596148862986956+0j),(0.07279046511249548+0j),(2.597236133187092+0j),(-2.611460773830121+0j)
4,(-0.3591263503492163-0.07607295565247219j),(-0.1237775002427973+0.26208625468044566j),(0.36709512404396094+0j),(0.2898449144952851+0j),(-2.9328504767392922+0j),(2.0120211893512407+0j)
5,(-0.03590979055823018+6.938893903907228e-18j),(0.23989700341011103-6.938893903907228e-18j),(0.03590979055823018+0j),(0.23989700341011103+0j),(3.141592653589793+0j),(-2.8924470940743617e-17+0j)
6,(-0.3591263503492163+0.07607295565247219j),(-0.1237775002427973-0.26208625468044566j),(0.36709512404396094+0j),(0.2898449144952851+0j),(2.9328504767392922+0j),(-2.0120211893512407+0j)
7,(-0.14197353209637273-0.08594609876150597j),(-0.06279927450665565+0.036806289309452705j),(0.16596148862986954+0j),(0.07279046511249548+0j),(-2.597236133187092+0j),(2.611460773830121+0j)
8,(0.05760959933218136+0.3654469965992776j),(-0.08294834633426434-0.0072379235193833075j),(0.3699599616967313+0j),(0.0832635316117537+0j),(1.4144415722051051+0j),(-3.054554906960286+0j)
9,(0.16179384526927076+0.0973022760446509j),(-0.16197476326807242-0.15138866958645228j),(0.18879878519335386+0j),(0.22170781045083668+0j),(0.5414458138270906+0j),(-2.3899638080391807+0j)
