,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(1.2029716854553036+0j),(1.5829367117982112+0j),(1.2029716854553036+0j),(1.5829367117982112+0j),0j,0j
1,(0.09510635281165136+0.11633843415393688j),(0.16606960845336907+0.058368313843655865j),(0.1502659296265265+0j),(0.17602833553950006+0j),(0.8854770020720439+0j),(0.3379828766735501+0j)
2,(-0.02668014582336703-0.34999325931280234j),(0.03625033194563343-0.2817423705899659j),(0.3510087060822774+0j),(0.2840648692672543+0j),(-1.6468796352163368+0j),(-1.442834534693112+0j)
3,(-0.19064425720748196-0.08933151861142097j),(-0.021117799182770486+0.007490283333048971j),(0.2105358711089756+0j),(0.022406824557111456+0j),(-2.7033979188666857+0j),(2.8007453171584804+0j)
4,(0.22140843223017065+0.1843033089535585j),(0.26433263620560055-0.20888790725819473j),(0.28807881482999215+0j),(0.336906367351688+0j),(0.6941950205693065+0j),(-0.6687652484587826+0j)
5,(-0.10180961743986025+0j),(0.053333956217475824-1.734723475976807e-18j),(0.10180961743986025+0j),(0.053333956217475824+0j),(3.141592653589793+0j),(-3.2525685304560136e-17+0j)
6,(0.22140843223017065-0.1843033089535585j),(0.26433263620560055+0.20888790725819473j),(0.28807881482999215+0j),(0.336906367351688+0j),(-0.6941950205693065+0j),(0.6687652484587826+0j)
7,(-0.19064425720748193+0.089331518611421j),(-0.02111779918277048-0.007490283333048969j),(0.2105358711089756+0j),(0.02240682455711145+0j),(2.7033979188666857+0j),(-2.8007453171584804+0j)
8,(-0.02668014582336703+0.34999325931280234j),(0.03625033194563343+0.2817423705899659j),(0.3510087060822774+0j),(0.2840648692672543+0j),(1.6468796352163368+0j),(1.442834534693112+0j)
9,(0.09510635281165138-0.11633843415393688j),(0.16606960845336907-0.058368313843655865j),(0.1502659296265265+0j),(0.17602833553950006+0j),(-0.8854770020720439+0j),(-0.3379828766735501+0j)
