,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(0.490230756792169+0j),(1.594842240030468+0j),(0.490230756792169+0j),(1.594842240030468+0j),0j,0j
1,(-0.06643748591992343+0.23121921762909448j),(-0.16890791812154163+0.08910655196206817j),(0.24057486596976538+0j),(0.19097084177099438+0j),(1.85059418723442+0j),(2.6561525292290344+0j)
2,(-0.048480844360667796-0.0544504808769354j),(0.014217500955876927+0.18947932650016241j),(0.07290574145876855+0j),(0.19001197989701996+0j),(-2.2982630793389127+0j),(1.4959020964113272+0j)
3,(0.1426078274398116+0.23664231162209062j),(-0.037762148637267054+0.13811133553575022j),(0.27629074558687217+0j),(0.14318072800894552+0j),(1.0284450259220568+0j),(1.837691329144969+0j)
4,(-0.1807939606432057+0.048250334964383836j),(0.14041699978541086+0.3101320363263924j),(0.18712175455898292+0j),(0.3404391484313913+0j),(2.880790881573933+0j),(1.1456452222337379+0j)
5,(-0.15056515934079268-1.3877787807814457e-17j),(-0.2979649660038334+0j),(0.15056515934079268+0j),(0.2979649660038334+0j),(-3.141592653589793+0j),(3.141592653589793+0j)
6,(-0.1807939606432057-0.048250334964383836j),(0.14041699978541086-0.3101320363263924j),(0.18712175455898292+0j),(0.3404391484313913+0j),(-2.880790881573933+0j),(-1.1456452222337379+0j)
7,(0.14260782743981154-0.23664231162209065j),(-0.037762148637267096-0.13811133553575022j),(0.27629074558687217+0j),(0.14318072800894552+0j),(-1.028445025922057+0j),(-1.8376913291449692+0j)
8,(-0.048480844360667796+0.0544504808769354j),(0.014217500955876927-0.18947932650016241j),(0.07290574145876855+0j),(0.19001197989701996+0j),(2.2982630793389127+0j),(-1.4959020964113272+0j)
9,(-0.06643748591992343-0.2312192176290944j),(-0.1689079181215416-0.08910655196206815j),(0.24057486596976532+0j),(0.19097084177099433+0j),(-1.85059418723442+0j),(-2.6561525292290344+0j)
