,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(0.5531769376543649+0j),(1.2243456177118472+0j),(0.5531769376543649+0j),(1.2243456177118472+0j),0j,0j
1,(-0.04842859514405078-0.2785858443503559j),(0.19188272780896642+0.17375987510262775j),(0.28276386172923+0j),(0.25886574788312705+0j),(-1.742913565314778+0j),(0.7358743004113318+0j)
2,(-0.12380312607698563+0.019149678986263838j),(-0.09137081633017208-0.13811016743875063j),(0.12527539356039138+0j),(0.16559904717963136+0j),(2.988130348405231+0j),(-2.1552685744501905+0j)
3,(-0.2061796240820128+0.2567516687068836j),(0.04302946241378172-0.2711801765210128j),(0.3292893207657506+0j),(0.2745728004984957+0j),(2.2473828862386513+0j),(-1.4134334450627417+0j)
4,(0.17204137384097468+0.11237108448862476j),(0.1357682737381021-0.05647923917437388j),(0.20548843019070356+0j),(0.14704736859781053+0j),(0.5785956582918031+0j),(-0.39422066058247257+0j)
5,(-0.11164692228323624+2.7755575615628914e-17j),(-0.07962386832710126+0j),(0.11164692228323624+0j),(0.07962386832710126+0j),(3.141592653589793+0j),(3.141592653589793+0j)
6,(0.17204137384097468-0.11237108448862476j),(0.1357682737381021+0.05647923917437388j),(0.20548843019070356+0j),(0.14704736859781053+0j),(-0.5785956582918031+0j),(0.39422066058247257+0j)
7,(-0.2061796240820128-0.2567516687068836j),(0.043029462413781736+0.27118017652101284j),(0.3292893207657506+0j),(0.27457280049849575+0j),(-2.2473828862386513+0j),(1.4134334450627417+0j)
8,(-0.12380312607698563-0.019149678986263838j),(-0.09137081633017208+0.13811016743875063j),(0.12527539356039138+0j),(0.16559904717963136+0j),(-2.988130348405231+0j),(2.1552685744501905+0j)
9,(-0.048428595144050776+0.27858584435035594j),(0.1918827278089665-0.17375987510262778j),(0.28276386172923+0j),(0.2588657478831271+0j),(1.742913565314778+0j),(-0.7358743004113316+0j)
