,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(1.188029771730028+0j),(1.3793740535444914+0j),(1.188029771730028+0j),(1.3793740535444914+0j),0j,0j
1,(0.11322525445707189+0.024323273159338507j),(0.04814893498394067+0.08735781014136877j),(0.11580837562133611+0j),(0.09974821769226344+0j),(0.2116059975964247+0j),(1.067055894977454+0j)
2,(-0.45819178094792+0.15994857456144407j),(0.019998951446105695+0.04502128466866906j),(0.4853073815969262+0j),(0.04926331426285719+0j),(2.8057318560231126+0j),(1.1527669232685767+0j)
3,(-0.25846949455995677+0.13035221384744375j),(-0.17773371191562762+0.012200365784475864j),(0.2894791517070085+0j),(0.17815196119207422+0j),(2.6744923107289833+0j),(3.0730560945690777+0j)
4,(0.3703702735435015-0.02942980771187194j),(-0.027821369815406782-0.3761712602477091j),(0.3715376873301629+0j),(0.37719868193666223+0j),(-0.07929389520120804+0j),(-1.644621233525684+0j)
5,(0.071151949956055+1.3877787807814457e-17j),(-0.6861788433973546-1.0408340855860843e-17j),(0.071151949956055+0j),(0.6861788433973546+0j),(1.950443777912718e-16+0j),(-3.141592653589793+0j)
6,(0.3703702735435015+0.02942980771187194j),(-0.027821369815406782+0.3761712602477091j),(0.3715376873301629+0j),(0.37719868193666223+0j),(0.07929389520120804+0j),(1.644621233525684+0j)
7,(-0.2584694945599567-0.13035221384744378j),(-0.1777337119156276-0.012200365784475874j),(0.28947915170700844+0j),(0.17815196119207422+0j),(-2.6744923107289833+0j),(-3.0730560945690777+0j)
8,(-0.45819178094792-0.15994857456144407j),(0.019998951446105695-0.04502128466866906j),(0.4853073815969262+0j),(0.04926331426285719+0j),(-2.8057318560231126+0j),(-1.1527669232685767+0j)
9,(0.11322525445707188-0.0243232731593385j),(0.04814893498394071-0.08735781014136876j),(0.1158083756213361+0j),(0.09974821769226346+0j),(-0.21160599759642465+0j),(-1.0670558949774536+0j)
