,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(0.8594483855767969+0j),(1.3459849571240134+0j),(0.8594483855767969+0j),(1.3459849571240134+0j),0j,0j
1,(0.4275987242773533-0.24862471949653658j),(0.03926739749138913+0.11363325389869461j),(0.49462604070989985+0j),(0.12022663971579654+0j),(-0.5266636432006443+0j),(1.238080144843644+0j)
2,(0.031802916246938706+0.13749689471473192j),(-0.09196259696111542+0.07934063378619155j),(0.14112696956288642+0j),(0.12145803970683502+0j),(1.343494402160543+0j),(2.429743573538801+0j)
3,(0.15352226750071069+0.2828995500348901j),(-0.08782932721531522-0.0758695931786033j),(0.32187146818023965+0j),(0.11606112996254034+0j),(1.0735949765381654+0j),(-2.429124249744868+0j)
4,(0.0373387972776425-0.010200730959402382j),(-0.022108185836398397+0.032720681279787785j),(0.03870711425884127+0j),(0.03948942724819115+0j),(-0.26668630279061073+0j),(2.1650020027570824+0j)
5,(-0.19339991852044872+0j),(-0.4827605140570705+0j),(0.19339991852044872+0j),(0.4827605140570705+0j),(3.141592653589793+0j),(3.141592653589793+0j)
6,(0.0373387972776425+0.010200730959402382j),(-0.022108185836398397-0.032720681279787785j),(0.03870711425884127+0j),(0.03948942724819115+0j),(0.26668630279061073+0j),(-2.1650020027570824+0j)
7,(0.1535222675007106-0.28289955003489015j),(-0.08782932721531517+0.0758695931786033j),(0.32187146818023965+0j),(0.1160611299625403+0j),(-1.0735949765381656+0j),(2.4291242497448677+0j)
8,(0.031802916246938706-0.13749689471473192j),(-0.09196259696111542-0.07934063378619155j),(0.14112696956288642+0j),(0.12145803970683502+0j),(-1.343494402160543+0j),(-2.429743573538801+0j)
9,(0.4275987242773533+0.2486247194965366j),(0.03926739749138918-0.11363325389869462j),(0.49462604070989985+0j),(0.12022663971579657+0j),(0.5266636432006444+0j),(-1.2380801448436438+0j)
