,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(0.993245181992075+0j),(1.5912796399169924+0j),(0.993245181992075+0j),(1.5912796399169924+0j),0j,0j
1,(0.13261502647016896+0.05849945065893501j),(0.176970393243999+0.2874215135067601j),(0.14494457897100113+0j),(0.33753465971874996+0j),(0.4154467828323116+0j),(1.0189000893145075+0j)
2,(0.12083517565402602-0.07280869921707116j),(0.11672272170234604+0.07519367960443253j),(0.14107532157333988+0j),(0.13884625747227533+0j),(-0.5422891375633248+0j),(0.5722925430154996+0j)
3,(0.22093602355755343-0.07347916071137545j),(0.12920276564747213-0.08977344464650566j),(0.23283451970073496+0j),(0.15732967302659348+0j),(-0.3210734526814573+0j),(-0.6072450538115735+0j)
4,(0.21206898459065043+0.05592810452732115j),(-0.0014425312589657624-0.2673426537352334j),(0.21931987393149874+0j),(0.2673465455221556+0j),(0.2578549493082646+0j),(-1.5761920885238294+0j)
5,(-0.6237300935564509+0j),(0.6556697164318859-6.938893903907228e-18j),(0.6237300935564509+0j),(0.6556697164318859+0j),(3.141592653589793+0j),(-1.0582910465452425e-17+0j)
6,(0.21206898459065043-0.05592810452732115j),(-0.0014425312589657624+0.2673426537352334j),(0.21931987393149874+0j),(0.2673465455221556+0j),(-0.2578549493082646+0j),(1.5761920885238294+0j)
7,(0.22093602355755332+0.07347916071137546j),(0.12920276564747218+0.08977344464650569j),(0.23283451970073488+0j),(0.15732967302659356+0j),(0.3210734526814575+0j),(0.6072450538115733+0j)
8,(0.12083517565402602+0.07280869921707116j),(0.11672272170234604-0.07519367960443253j),(0.14107532157333988+0j),(0.13884625747227533+0j),(0.5422891375633248+0j),(-0.5722925430154996+0j)
9,(0.13261502647016904-0.05849945065893503j),(0.17697039324399894-0.2874215135067601j),(0.14494457897100121+0j),(0.3375346597187499+0j),(-0.41544678283231157+0j),(-1.0189000893145077+0j)
