,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(0.3795226671969357+0j),(1.8569739883228693+0j),(0.3795226671969357+0j),(1.8569739883228693+0j),0j,0j
1,(0.18265627131552772-0.014470549346991587j),(0.17773840149230574-0.3347259061634745j),(0.1832285737795702+0j),(0.3789886167446183+0j),(-0.07905772464686704+0j),(-1.0826598271380015+0j)
2,(-0.09142478503015776-0.0071982313022605935j),(0.08164430627608865+0.1109024646994673j),(0.09170771969518926+0j),(0.13771401317121057+0j),(-3.0630208268928456+0j),(0.9361980882822573+0j)
3,(-0.09009226656047828+0.008987179327387022j),(-0.10649695039084128+0.22361979914303054j),(0.090539416202375+0j),(0.24768410326728404+0j),(3.0421663034360784+0j),(2.0152568433068296+0j)
4,(0.1835058118384294+0.01305070579920686j),(-0.01692520506551093-0.06174017862433973j),(0.18396930151614566+0j),(0.06401806169414201+0j),(0.07099921927256138+0j),(-1.8383590983148288+0j)
5,(0.35178192227634375-1.734723475976807e-18j),(-0.22035622100727265-1.3877787807814457e-17j),(0.35178192227634375+0j),(0.22035622100727265+0j),(-4.931246792761817e-18+0j),(-3.141592653589793+0j)
6,(0.1835058118384294-0.01305070579920686j),(-0.01692520506551093+0.06174017862433973j),(0.18396930151614566+0j),(0.06401806169414201+0j),(-0.07099921927256138+0j),(1.8383590983148288+0j)
7,(-0.09009226656047822-0.008987179327387018j),(-0.10649695039084124-0.2236197991430306j),(0.09053941620237495+0j),(0.24768410326728407+0j),(-3.0421663034360784+0j),(-2.015256843306829+0j)
8,(-0.09142478503015776+0.0071982313022605935j),(0.08164430627608865-0.1109024646994673j),(0.09170771969518926+0j),(0.13771401317121057+0j),(3.0630208268928456+0j),(-0.9361980882822573+0j)
9,(0.18265627131552772+0.014470549346991587j),(0.17773840149230574+0.33472590616347453j),(0.1832285737795702+0j),(0.37898861674461837+0j),(0.07905772464686704+0j),(1.0826598271380017+0j)
