,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(1.1161435655610035+0j),(1.297317574408908+0j),(1.1161435655610035+0j),(1.297317574408908+0j),0j,0j
1,(0.012353944037677748-0.16564558392123735j),(0.09513318138603892+0.23233108774272831j),(0.16610562725535147+0j),(0.251053891689311+0j),(-1.496353564178146+0j),(1.1821508040246216+0j)
2,(-0.048781518141517655-0.06312311511082377j),(-0.13624470141578632-0.21281438025194552j),(0.07977571167645905+0j),(0.25269067870797374+0j),(-2.2287302171374272+0j),(-2.1402545060986857+0j)
3,(0.034046207500210465-0.13199231096592315j),(0.2872907074991202-0.028814658149623085j),(0.1363125614140984+0j),(0.2887321165710955+0j),(-1.3183580088521567+0j),(-0.09996360633270923+0j)
4,(-0.19659806908001068-0.26938727822285347j),(-0.15338109235002387-0.03171304599126437j),(0.33349708609567447+0j),(0.15662527502459683+0j),(-2.2012417432242346+0j),(-2.937705803165719+0j)
5,(0.49144403935075676+2.7755575615628914e-17j),(-0.1695561262861702+0j),(0.49144403935075676+0j),(0.1695561262861702+0j),(5.647759132921137e-17+0j),(3.141592653589793+0j)
6,(-0.19659806908001068+0.26938727822285347j),(-0.15338109235002387+0.03171304599126437j),(0.33349708609567447+0j),(0.15662527502459683+0j),(2.2012417432242346+0j),(2.937705803165719+0j)
7,(0.03404620750021048+0.13199231096592318j),(0.2872907074991202+0.0288146581496231j),(0.13631256141409842+0j),(0.2887321165710955+0j),(1.3183580088521567+0j),(0.09996360633270929+0j)
8,(-0.048781518141517655+0.06312311511082377j),(-0.13624470141578632+0.21281438025194552j),(0.07977571167645905+0j),(0.25269067870797374+0j),(2.2287302171374272+0j),(2.1402545060986857+0j)
9,(0.012353944037677714+0.16564558392123732j),(0.09513318138603896-0.23233108774272831j),(0.16610562725535144+0j),(0.251053891689311+0j),(1.4963535641781462+0j),(-1.1821508040246214+0j)
