,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(0.5448354090134442+0j),(1.479782269341125+0j),(0.5448354090134442+0j),(1.479782269341125+0j),0j,0j
1,(0.2000196488348866-0.008245683299315035j),(-0.13715468068094389+0.07606686669992044j),(0.20018953822091692+0j),(0.1568361394648413+0j),(-0.041201037331709295+0j),(2.635219722803345+0j)
2,(0.1211364847047666+0.2777442825971312j),(-0.13570325461924304+0.104211374050741j),(0.30301144275756847+0j),(0.17110050787709125+0j),(1.1595246560344201+0j),(2.486711166538287+0j)
3,(0.12621673382019477+0.2771965528279791j),(0.16264883366653193-0.06480161745033507j),(0.30457937027309073+0j),(0.17508253115962982+0j),(1.1435163480177524+0j),(-0.37913862738657683+0j)
4,(0.04378567729605462-0.009648182207277547j),(-0.2113745856813018+0.12156687509874714j),(0.04483606758156942+0j),(0.2438395386175433+0j),(-0.21688430142400436+0j),(2.619664201590957+0j)
5,(-0.26863478367034993-2.7755575615628914e-17j),(-0.276260683366299+6.938893903907228e-18j),(0.26863478367034993+0j),(0.276260683366299+0j),(-3.141592653589793+0j),(3.141592653589793+0j)
6,(0.04378567729605462+0.009648182207277547j),(-0.2113745856813018-0.12156687509874714j),(0.04483606758156942+0j),(0.2438395386175433+0j),(0.21688430142400436+0j),(-2.619664201590957+0j)
7,(0.12621673382019477-0.27719655282797917j),(0.16264883366653193+0.06480161745033508j),(0.3045793702730908+0j),(0.17508253115962982+0j),(-1.1435163480177526+0j),(0.3791386273865769+0j)
8,(0.1211364847047666-0.2777442825971312j),(-0.13570325461924304-0.104211374050741j),(0.30301144275756847+0j),(0.17110050787709125+0j),(-1.1595246560344201+0j),(-2.486711166538287+0j)
9,(0.20001964883488665+0.008245683299315076j),(-0.13715468068094383-0.07606686669992042j),(0.20018953822091698+0j),(0.15683613946484123+0j),(0.041201037331709496+0j),(-2.6352197228033445+0j)
