,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(0.7312828576326722+0j),(1.4807683859283882+0j),(0.7312828576326722+0j),(1.4807683859283882+0j),0j,0j
1,(-0.1813442668180624+0.07477856434454183j),(-0.2530047160988459+0.07882703204438339j),(0.19615702075941963+0j),(0.2650001648097296+0j),(2.750479350092291+0j),(2.839561204196922+0j)
2,(0.15603666829449628+0.43710742062728897j),(0.11781317905834432-0.044897282002677744j),(0.46412319379652683+0j),(0.12607819435200313+0j),(1.227920762231217+0j),(-0.3640980737743967+0j)
3,(-0.24768397793014768-0.09895711951116534j),(-0.3234473253238738+0.18386286537238997j),(0.2667205736819883+0j),(0.37205339068756443+0j),(-2.761491724110352+0j),(2.62469659639675+0j)
4,(-0.05700783978438885+0.053792937697798276j),(0.25192363325574274-0.17692450532040344j),(0.07838095395593087+0j),(0.30784378761905107+0j),(2.3852015100748023+0j),(-0.6122640338870398+0j)
5,(-0.04061865719432377+6.938893903907228e-18j),(0.24597022135531108-2.7755575615628914e-17j),(0.04061865719432377+0j),(0.24597022135531108+0j),(3.141592653589793+0j),(-1.128412027386648e-16+0j)
6,(-0.05700783978438885-0.053792937697798276j),(0.25192363325574274+0.17692450532040344j),(0.07838095395593087+0j),(0.30784378761905107+0j),(-2.3852015100748023+0j),(0.6122640338870398+0j)
7,(-0.24768397793014763+0.09895711951116537j),(-0.3234473253238738-0.18386286537238997j),(0.26672057368198826+0j),(0.37205339068756443+0j),(2.7614917241103516+0j),(-2.62469659639675+0j)
8,(0.15603666829449628-0.43710742062728897j),(0.11781317905834432+0.044897282002677744j),(0.46412319379652683+0j),(0.12607819435200313+0j),(-1.227920762231217+0j),(0.3640980737743967+0j)
9,(-0.18134426681806243-0.07477856434454183j),(-0.25300471609884584-0.07882703204438338j),(0.19615702075941968+0j),(0.26500016480972954+0j),(-2.750479350092291+0j),(-2.839561204196922+0j)
