,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(0.7943971785894294+0j),(1.2119282558532896+0j),(0.7943971785894294+0j),(1.2119282558532896+0j),0j,0j
1,(-0.0151161062369424+0.06779894794978884j),(-0.04178384633794163+0.05069725966558451j),(0.06946361645397327+0j),(0.0656970467554853+0j),(1.7901633430675856+0j),(2.2601103623523904+0j)
2,(0.06015389109503383+0.10494054164186098j),(-0.19177656412415756-0.02087437154550542j),(0.12095870325842761+0j),(0.19290927902692218+0j),(1.050301698223867+0j),(-3.033172134833518+0j)
3,(0.02716298148696037-0.0070371166131664165j),(0.2683521223951716+0.2533434459181283j),(0.028059732241920175+0j),(0.36904710157873444+0j),(-0.2534968521301466+0j),(0.7566370644660109+0j)
4,(-0.10126784507886032-0.008398594858199201j),(-0.14961966875796537+0.16107366258485j),(0.10161551477263805+0j),(0.21984260291795443+0j),(-3.058847549283988+0j),(2.319345263399188+0j)
5,(0.6613842615187072-5.204170427930421e-18j),(-0.15262232950527044-2.7755575615628914e-17j),(0.6613842615187072+0j),(0.15262232950527044+0j),(-7.868603368305615e-18+0j),(-3.141592653589793+0j)
6,(-0.10126784507886032+0.008398594858199201j),(-0.14961966875796537-0.16107366258485j),(0.10161551477263805+0j),(0.21984260291795443+0j),(3.058847549283988+0j),(-2.319345263399188+0j)
7,(0.02716298148696039+0.007037116613166422j),(0.2683521223951716-0.2533434459181283j),(0.028059732241920196+0j),(0.36904710157873444+0j),(0.2534968521301466+0j),(-0.7566370644660109+0j)
8,(0.06015389109503383-0.10494054164186098j),(-0.19177656412415756+0.02087437154550542j),(0.12095870325842761+0j),(0.19290927902692218+0j),(-1.050301698223867+0j),(3.033172134833518+0j)
9,(-0.015116106236942449-0.06779894794978886j),(-0.04178384633794166-0.05069725966558447j),(0.0694636164539733+0j),(0.06569704675548528+0j),(-1.7901633430675863+0j),(-2.2601103623523913+0j)
