,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(0.4437397043177612+0j),(1.6030466684246565+0j),(0.4437397043177612+0j),(1.6030466684246565+0j),0j,0j
1,(-0.2134503714640863-0.11109143795541407j),(-0.25169197992547804+0.25730176764085355j),(0.2406291101782119+0j),(0.359934789079793+0j),(-2.661714813053618+0j),(2.345173607089152+0j)
2,(0.006592540052669127-0.050441973194216574j),(-0.04059620812658182-0.2922379675740108j),(0.050870956783533275+0j),(0.2950442031391997+0j),(-1.440837419948937+0j),(-1.7088278694961192+0j)
3,(0.00788396249342116+0.04891962436634108j),(0.14144257783603728-0.23556139475705834j),(0.049550847749978845+0j),(0.27476385046944246+0j),(1.4110087136304306+0j),(-1.030046826251918+0j)
4,(-0.21222508704719134+0.11306471026401042j),(-0.07693288737567769-0.21680943128167443j),(0.24046437632063625+0j),(0.23005433847819914+0j),(2.652083000954944+0j),(-1.9117773635223618+0j)
5,(0.4156261662407379+6.938893903907228e-18j),(-0.25652585991432986+1.3877787807814457e-17j),(0.4156261662407379+0j),(0.25652585991432986+0j),(1.6695036230919352e-17+0j),(3.141592653589793+0j)
6,(-0.21222508704719134-0.11306471026401042j),(-0.07693288737567769+0.21680943128167443j),(0.24046437632063625+0j),(0.23005433847819914+0j),(-2.652083000954944+0j),(1.9117773635223618+0j)
7,(0.00788396249342116-0.048919624366341084j),(0.14144257783603723+0.23556139475705834j),(0.049550847749978845+0j),(0.27476385046944246+0j),(-1.4110087136304306+0j),(1.0300468262519182+0j)
8,(0.006592540052669127+0.050441973194216574j),(-0.04059620812658182+0.2922379675740108j),(0.050870956783533275+0j),(0.2950442031391997+0j),(1.440837419948937+0j),(1.7088278694961192+0j)
9,(-0.21345037146408635+0.11109143795541405j),(-0.251691979925478-0.25730176764085355j),(0.24062911017821192+0j),(0.35993478907979287+0j),(2.661714813053618+0j),(-2.345173607089152+0j)
