,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(0.6839162063592075+0j),(1.7735036181849884+0j),(0.6839162063592075+0j),(1.7735036181849884+0j),0j,0j
1,(-0.30386112296483114+0.2912863603148079j),(0.26275338249764096+0.3802377307517785j),(0.4209267463049792+0j),(0.4621905147244085+0j),(2.3773201645280864+0j),(0.9661199875968548+0j)
2,(0.07673033772250587+0.03749095555199389j),(0.04920831109874435-0.14501174719361024j),(0.08539974517064666+0j),(0.15313348655775566+0j),(0.4544914800402378+0j),(-1.2436493954676435+0j)
3,(-0.33488956429375716-0.03466341702553566j),(-0.0379128024314172+0.21957778270832717j),(0.33667873819525446+0j),(0.22282680100766383+0j),(-3.0384529345128555+0j),(1.7417728498133953+0j)
4,(0.10944296358522668-0.29290837059289027j),(-0.0802288497886953-0.11083379481766228j),(0.3126868654767884+0j),(0.13682396870468527+0j),(-1.2132164809472996+0j),(-2.1973610182073924+0j)
5,(0.2441374028804666+1.3877787807814457e-17j),(0.15176088067616328-1.3877787807814457e-17j),(0.2441374028804666+0j),(0.15176088067616328+0j),(5.684416907887414e-17+0j),(-9.144509274051813e-17+0j)
6,(0.10944296358522668+0.29290837059289027j),(-0.0802288497886953+0.11083379481766228j),(0.3126868654767884+0j),(0.13682396870468527+0j),(1.2132164809472996+0j),(2.1973610182073924+0j)
7,(-0.33488956429375716+0.034663417025535645j),(-0.03791280243141715-0.21957778270832717j),(0.33667873819525446+0j),(0.22282680100766383+0j),(3.0384529345128555+0j),(-1.741772849813395+0j)
8,(0.07673033772250587-0.03749095555199389j),(0.04920831109874435+0.14501174719361024j),(0.08539974517064666+0j),(0.15313348655775566+0j),(-0.4544914800402378+0j),(1.2436493954676435+0j)
9,(-0.30386112296483114-0.2912863603148079j),(0.26275338249764096-0.38023773075177847j),(0.4209267463049792+0j),(0.4621905147244084+0j),(-2.3773201645280864+0j),(-0.9661199875968548+0j)
