,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(0.9777776390193396+0j),(1.1543397295303879+0j),(0.9777776390193396+0j),(1.1543397295303879+0j),0j,0j
1,(-0.004470374511318549-0.2418617727104881j),(0.019283440234281836+0.0836501233289439j),(0.2419030825494608+0j),(0.08584401085816439+0j),(-1.5892774017382545+0j),(1.3442294236376726+0j)
2,(-0.06356354393301855-0.09821748329413382j),(0.1847354147068958+0.07812413794017949j),(0.1169914447383151+0j),(0.20057555777268818+0j),(-2.1451804895403996+0j),(0.40008843144279316+0j)
3,(0.12353855709805829+0.14865151344375965j),(0.21328753537634146+0.1382861853880013j),(0.1932848869906555+0j),(0.25419410263827674+0j),(0.8774002743057069+0j),(0.5752184163667401+0j)
4,(0.5610149801172573+0.15437212182937424j),(-0.03435349735148127+0.22222749357303814j),(0.5818664450834656+0j),(0.22486712005100465+0j),(0.268520324135063+0j),(1.7241693607063853+0j)
5,(-0.08891345544113659-1.3877787807814457e-17j),(0.11848137516143094+0j),(0.08891345544113659+0j),(0.11848137516143094+0j),(-3.141592653589793+0j),0j
6,(0.5610149801172573-0.15437212182937424j),(-0.03435349735148127-0.22222749357303814j),(0.5818664450834656+0j),(0.22486712005100465+0j),(-0.268520324135063+0j),(-1.7241693607063853+0j)
7,(0.12353855709805829-0.14865151344375965j),(0.21328753537634143-0.1382861853880013j),(0.1932848869906555+0j),(0.25419410263827674+0j),(-0.8774002743057069+0j),(-0.5752184163667401+0j)
8,(-0.06356354393301855+0.09821748329413382j),(0.1847354147068958-0.07812413794017949j),(0.1169914447383151+0j),(0.20057555777268818+0j),(2.1451804895403996+0j),(-0.40008843144279316+0j)
9,(-0.004470374511318556+0.2418617727104881j),(0.01928344023428183-0.08365012332894389j),(0.2419030825494608+0j),(0.08584401085816437+0j),(1.5892774017382545+0j),(-1.3442294236376728+0j)
