,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(0.9137611070154827+0j),(1.3258786415250026+0j),(0.9137611070154827+0j),(1.3258786415250026+0j),0j,0j
1,(0.03909487658876362-0.12768295797378282j),(0.06677131046567442-0.12011465891202028j),(0.13353406731027648+0j),(0.13742612265087906+0j),(-1.2736729898215482+0j),(-1.0634373781151232+0j)
2,(0.11685823826470143+0.0926158704261815j),(-0.1871392542906381+0.27510134118081214j),(0.1491091791444409+0j),(0.33271887294822594+0j),(0.6701810580180093+0j),(2.1681478108650865+0j)
3,(0.31593204093179655+0.06731685130122884j),(0.056252575784486517-0.18283181052599587j),(0.3230241677590736+0j),(0.19128989315330555+0j),(0.20993437037083598+0j),(-1.2723142129905296+0j)
4,(-0.23020380319303016-0.11601603945545617j),(0.09419492253619047+0.12317937490772524j),(0.2577857878461598+0j),(0.15506721714874763+0j),(-2.674773298252304+0j),(0.9179551771550897+0j)
5,(-0.06613242326702437+0j),(0.2150430717263167+0j),(0.06613242326702437+0j),(0.2150430717263167+0j),(3.141592653589793+0j),0j
6,(-0.23020380319303016+0.11601603945545617j),(0.09419492253619047-0.12317937490772524j),(0.2577857878461598+0j),(0.15506721714874763+0j),(2.674773298252304+0j),(-0.9179551771550897+0j)
7,(0.3159320409317965-0.06731685130122886j),(0.056252575784486517+0.1828318105259959j),(0.32302416775907355+0j),(0.19128989315330558+0j),(-0.20993437037083607+0j),(1.2723142129905296+0j)
8,(0.11685823826470143-0.0926158704261815j),(-0.1871392542906381-0.27510134118081214j),(0.1491091791444409+0j),(0.33271887294822594+0j),(-0.6701810580180093+0j),(-2.1681478108650865+0j)
9,(0.03909487658876365+0.12768295797378282j),(0.06677131046567443+0.12011465891202025j),(0.13353406731027648+0j),(0.13742612265087903+0j),(1.273672989821548+0j),(1.063437378115123+0j)
