,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(0.9333798452601265+0j),(0.9296641501457104+0j),(0.9333798452601265+0j),(0.9296641501457104+0j),0j,0j
1,(-0.19038800503264922-0.36130769706270216j),(-0.0698099387330337-0.14019346692843362j),(0.4084003482087955+0j),(0.1566130125989655+0j),(-2.05576407892658+0j),(-2.032806031535749+0j)
2,(0.018247933188218657-0.07011804535378506j),(-0.12615570264176834-0.06228629921219099j),(0.0724536220618207+0j),(0.14069415189903545+0j),(-1.316197960756692+0j),(-2.682977156496374+0j)
3,(-0.09327777437576192-0.29574674598706285j),(-0.04343234258502108+0.28298926541505487j),(0.3101078537451637+0j),(0.28630279901281963+0j),(-1.8763186980466056+0j),(1.7230850135827511+0j)
4,(-0.0430317417240961+0.08383120787276296j),(-0.06113331759154808+0.02322525187687604j),(0.09423058001103309+0j),(0.06539644366854681+0j),(2.045038401644818+0j),(2.778522957707629+0j)
5,(-0.28741462270390794+2.7755575615628914e-17j),(-0.03331606570216389+0j),(0.28741462270390794+0j),(0.03331606570216389+0j),(3.141592653589793+0j),(3.141592653589793+0j)
6,(-0.0430317417240961-0.08383120787276296j),(-0.06113331759154808-0.02322525187687604j),(0.09423058001103309+0j),(0.06539644366854681+0j),(-2.045038401644818+0j),(-2.778522957707629+0j)
7,(-0.09327777437576194+0.29574674598706285j),(-0.04343234258502107-0.282989265415055j),(0.3101078537451637+0j),(0.28630279901281974+0j),(1.8763186980466056+0j),(-1.723085013582751+0j)
8,(0.018247933188218657+0.07011804535378506j),(-0.12615570264176834+0.06228629921219099j),(0.0724536220618207+0j),(0.14069415189903545+0j),(1.316197960756692+0j),(2.682977156496374+0j)
9,(-0.1903880050326492+0.36130769706270205j),(-0.0698099387330337+0.14019346692843368j),(0.4084003482087954+0j),(0.15661301259896557+0j),(2.05576407892658+0j),(2.0328060315357486+0j)
