,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(0.6852387455058822+0j),(1.7156026881112845+0j),(0.6852387455058822+0j),(1.7156026881112845+0j),0j,0j
1,(0.22092610374968344-0.14857774523313583j),(-0.05221642678375868+0.03905045416581567j),(0.26623991003712894+0j),(0.06520347534158054+0j),(-0.5920455980195892+0j),(2.4994640600686098+0j)
2,(0.24190210882113705-0.24069932515397516j),(0.028354159894974806-0.041148599403337954j),(0.3412518064152808+0j),(0.04997164812377297+0j),(-0.7829058766114502+0j),(-0.967445399459331+0j)
3,(0.26089525937242924-0.04664228906221407j),(0.19455661630069684-0.02008179677556111j),(0.2650317707218708+0j),(0.1955902745744571+0j),(-0.17690887479025083+0j),(-0.10285402973358083+0j)
4,(-0.06285249911620239-0.27069593277448134j),(-0.24703570353888446+0.10740671955930362j),(0.2778969677160921+0j),(0.26937491017064397+0j),(-1.7989423215035738+0j),(2.731465680953265+0j)
5,(0.05719950721611225+1.3877787807814457e-17j),(-0.17611982081084104-1.734723475976807e-18j),(0.05719950721611225+0j),(0.17611982081084104+0j),(2.426207581715895e-16+0j),(-3.141592653589793+0j)
6,(-0.06285249911620239+0.27069593277448134j),(-0.24703570353888446-0.10740671955930362j),(0.2778969677160921+0j),(0.26937491017064397+0j),(1.7989423215035738+0j),(-2.731465680953265+0j)
7,(0.2608952593724292+0.04664228906221408j),(0.19455661630069682+0.020081796775561114j),(0.26503177072187073+0j),(0.19559027457445705+0j),(0.1769088747902509+0j),(0.10285402973358088+0j)
8,(0.24190210882113705+0.24069932515397516j),(0.028354159894974806+0.041148599403337954j),(0.3412518064152808+0j),(0.04997164812377297+0j),(0.7829058766114502+0j),(0.967445399459331+0j)
9,(0.22092610374968344+0.1485777452331358j),(-0.05221642678375865-0.03905045416581568j),(0.2662399100371289+0j),(0.06520347534158052+0j),(0.5920455980195891+0j),(-2.4994640600686098+0j)
