,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(0.7360869115597412+0j),(1.6393177788973254+0j),(0.7360869115597412+0j),(1.6393177788973254+0j),0j,0j
1,(0.11676470250561868-0.17009469668637267j),(-0.0557954613329982+0.19156119618627213j),(0.2063157812481991+0j),(0.19952149104714895+0j),(-0.9692095483659752+0j),(1.8542220944588923+0j)
2,(0.1310270465836911+0.3181416352461168j),(0.35965346933941905+0.30119774939598465j),(0.3440671257378682+0j),(0.4691169387786875+0j),(1.1801152434152953+0j),(0.6971725972156452+0j)
3,(0.2425594983571625-0.041138347797962216j),(-0.12154143314341373+0.17980585919186876j),(0.24602331983538556+0j),(0.21703102766720025+0j),(-0.16800239618642607+0j),(2.16520469346232+0j)
4,(-0.1623554141125552+0.05274992782256345j),(-0.028875389785509548-0.1873792415050639j),(0.17070979871391373+0j),(0.18959105538573853+0j),(2.827447561405594+0j),(-1.7236949189126585+0j)
5,(-0.06955649020816958+6.938893903907228e-18j),(0.27486748816774664-2.7755575615628914e-17j),(0.06955649020816958+0j),(0.27486748816774664+0j),(3.141592653589793+0j),(-1.0097802326730686e-16+0j)
6,(-0.1623554141125552-0.05274992782256345j),(-0.028875389785509548+0.1873792415050639j),(0.17070979871391373+0j),(0.18959105538573853+0j),(-2.827447561405594+0j),(1.7236949189126585+0j)
7,(0.2425594983571625+0.04113834779796221j),(-0.12154143314341367-0.17980585919186878j),(0.24602331983538556+0j),(0.21703102766720025+0j),(0.16800239618642604+0j),(-2.1652046934623197+0j)
8,(0.1310270465836911-0.3181416352461168j),(0.35965346933941905-0.30119774939598465j),(0.3440671257378682+0j),(0.4691169387786875+0j),(-1.1801152434152953+0j),(-0.6971725972156452+0j)
9,(0.11676470250561866+0.17009469668637267j),(-0.05579546133299823-0.1915611961862721j),(0.2063157812481991+0j),(0.19952149104714895+0j),(0.9692095483659753+0j),(-1.8542220944588925+0j)
