,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(0.6547620473667497+0j),(1.2116238132177655+0j),(0.6547620473667497+0j),(1.2116238132177655+0j),0j,0j
1,(0.073274225151751-0.10731918392521729j),(0.2070826102212038-0.08656533432392895j),(0.12994814084843276+0j),(0.22444768780863084+0j),(-0.9717285586712155+0j),(-0.39594642112294104+0j)
2,(-0.03159897201223921-0.030919822782649542j),(-0.1817240419115092-0.20155555377556167j),(0.044210072077986155+0j),(0.2713821450766968+0j),(-2.367057183864409+0j),(-2.3044989581507114+0j)
3,(0.17413066263152185-0.1175741219979886j),(-0.2586741017137784-0.27879713196951594j),(0.21010750065642775+0j),(0.38031583150305204+0j),(-0.5938913853927013+0j),(-2.318771770081572+0j)
4,(0.15351058698295106+0.35163891517530144j),(0.257179772855089+0.0031938549443901593j),(0.3836866260133561+0j),(0.25719960395615105+0j),(1.1591772856218605+0j),(0.012418125782673355+0j)
5,(0.3663554165901734+0j),(0.10167251845140979+2.7755575615628914e-17j),(0.3663554165901734+0j),(0.10167251845140979+0j),0j,(2.729899488905997e-16+0j)
6,(0.15351058698295106-0.35163891517530144j),(0.257179772855089-0.0031938549443901593j),(0.3836866260133561+0j),(0.25719960395615105+0j),(-1.1591772856218605+0j),(-0.012418125782673355+0j)
7,(0.17413066263152183+0.1175741219979886j),(-0.25867410171377836+0.27879713196951594j),(0.21010750065642772+0j),(0.38031583150305204+0j),(0.5938913853927014+0j),(2.318771770081572+0j)
8,(-0.03159897201223921+0.030919822782649542j),(-0.1817240419115092+0.20155555377556167j),(0.044210072077986155+0j),(0.2713821450766968+0j),(2.367057183864409+0j),(2.3044989581507114+0j)
9,(0.07327422515175094+0.10731918392521726j),(0.20708261022120378+0.08656533432392892j),(0.1299481408484327+0j),(0.2244476878086308+0j),(0.9717285586712158+0j),(0.395946421122941+0j)
