,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(1.676170360949154+0j),(1.663799323327698+0j),(1.676170360949154+0j),(1.663799323327698+0j),0j,0j
1,(-0.25917861160952976+0.19128957139129918j),(0.39664785962116866-0.2582807494922719j),(0.32212614429584946+0j),(0.47332702236439456+0j),(2.5057765286561837+0j),(-0.577189420641821+0j)
2,(0.08783196468871113+0.15081789345130392j),(0.02161524634588574-0.06788108143449087j),(0.17452934139040308+0j),(0.07123945600093608+0j),(1.0434402030233412+0j),(-1.2625198869378367+0j)
3,(-0.04496284212455899+0.16372990980565252j),(0.12013662120898477-0.08951471296769845j),(0.16979146190808633+0j),(0.1498188626081527+0j),(1.8388054396598223+0j),(-0.6403626313347983+0j)
4,(0.07387446578763263+0.1692911057739383j),(0.024932005311678163+0.2658531963415941j),(0.18470764789139316+0j),(0.26701971255677687+0j),(1.1593302421898384+0j),(1.4772887162354287+0j)
5,(0.17409547957882224-4.163336342344337e-17j),(0.26661165785646734+1.3877787807814457e-17j),(0.17409547957882224+0j),(0.26661165785646734+0j),(-2.3914097898557866e-16+0j),(5.205244181515004e-17+0j)
6,(0.07387446578763263-0.1692911057739383j),(0.024932005311678163-0.2658531963415941j),(0.18470764789139316+0j),(0.26701971255677687+0j),(-1.1593302421898384+0j),(-1.4772887162354287+0j)
7,(-0.044962842124559005-0.16372990980565255j),(0.1201366212089848+0.08951471296769845j),(0.16979146190808633+0j),(0.14981886260815272+0j),(-1.8388054396598223+0j),(0.6403626313347982+0j)
8,(0.08783196468871113-0.15081789345130392j),(0.02161524634588574+0.06788108143449087j),(0.17452934139040308+0j),(0.07123945600093608+0j),(-1.0434402030233412+0j),(1.2625198869378367+0j)
9,(-0.25917861160952976-0.19128957139129912j),(0.3966478596211686+0.25828074949227187j),(0.3221261442958494+0j),(0.4733270223643945+0j),(-2.505776528656184+0j),(0.577189420641821+0j)
