,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(0.7122540120589713+0j),(1.1549092742239306+0j),(0.7122540120589713+0j),(1.1549092742239306+0j),0j,0j
1,(0.04591776202884942+0.08363801487813588j),(0.008439171822287553-0.22323761814443907j),(0.09541361748981811+0j),(0.2233970764711313+0j),(1.0687166755347837+0j),(-1.533010781622068+0j)
2,(0.1930329564763501-0.3704943025490264j),(0.0730743850019524+0.05108521385426494j),(0.41776518584880906+0j),(0.08916033208747906+0j),(-1.0904786872298553+0j),(0.6101116745774168+0j)
3,(0.09444385966516408-0.203635091402287j),(-0.17405468946579195+0.005253311805229546j),(0.22447024987483527+0j),(0.1741339490448552+0j),(-1.1365342357420118+0j),(3.1114198525971695+0j)
4,(0.0426771272974585-0.023637266594178835j),(0.20496672338944996+0.08140839392029608j),(0.048785833665191784+0j),(0.2205417971670889+0j),(-0.5058039353137476+0j),(0.37807176213406135+0j)
5,(-0.2698501771943599+0j),(0.4024381719053103+1.3877787807814457e-17j),(0.2698501771943599+0j),(0.4024381719053103+0j),(3.141592653589793+0j),(3.448427305519061e-17+0j)
6,(0.0426771272974585+0.023637266594178835j),(0.20496672338944996-0.08140839392029608j),(0.048785833665191784+0j),(0.2205417971670889+0j),(0.5058039353137476+0j),(-0.37807176213406135+0j)
7,(0.09444385966516408+0.20363509140228703j),(-0.17405468946579195-0.00525331180522956j),(0.2244702498748353+0j),(0.1741339490448552+0j),(1.1365342357420118+0j),(-3.1114198525971695+0j)
8,(0.1930329564763501+0.3704943025490264j),(0.0730743850019524-0.05108521385426494j),(0.41776518584880906+0j),(0.08916033208747906+0j),(1.0904786872298553+0j),(-0.6101116745774168+0j)
9,(0.045917762028849424-0.08363801487813591j),(0.008439171822287539+0.22323761814443904j),(0.09541361748981814+0j),(0.22339707647113127+0j),(-1.0687166755347837+0j),(1.533010781622068+0j)
