,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(0.8962321122637974+0j),(1.4477722711287289+0j),(0.8962321122637974+0j),(1.4477722711287289+0j),0j,0j
1,(0.07881450799163478-0.15424999240658932j),(-0.2213975920864439-0.13477752723034345j),(0.17321889858614253+0j),(0.2591946674374328+0j),(-1.0984247017427238+0j),(-2.5947584142587132+0j)
2,(-0.1428819611511271+0.002873250350750964j),(0.3155451115228497-0.03601423293660089j),(0.1429108476987324+0j),(0.31759367496847196+0j),(3.1214861046289664+0j),(-0.11364164310429235+0j)
3,(0.485628909663686-0.041711352132800805j),(-0.390877608408267+0.06892149648403775j),(0.4874169414350377+0j),(0.3969073915065903+0j),(-0.08568112418709485+0j),(2.967061643961186+0j)
4,(0.321146774006118+0.21381886720034865j),(-0.2712523169601195+0.04793081777041755j),(0.3858157052601371+0j),(0.2754545021385094+0j),(0.5874009505300821+0j),(2.9666960733333716+0j)
5,(0.0884836145871381+3.469446951953614e-18j),(-0.08011419109028928+6.938893903907228e-18j),(0.0884836145871381+0j),(0.08011419109028928+0j),(3.921004999786627e-17+0j),(3.141592653589793+0j)
6,(0.321146774006118-0.21381886720034865j),(-0.2712523169601195-0.04793081777041755j),(0.3858157052601371+0j),(0.2754545021385094+0j),(-0.5874009505300821+0j),(-2.9666960733333716+0j)
7,(0.48562890966368594+0.041711352132800805j),(-0.390877608408267-0.06892149648403778j),(0.48741694143503767+0j),(0.3969073915065903+0j),(0.08568112418709485+0j),(-2.9670616439611854+0j)
8,(-0.1428819611511271-0.002873250350750964j),(0.3155451115228497+0.03601423293660089j),(0.1429108476987324+0j),(0.31759367496847196+0j),(-3.1214861046289664+0j),(0.11364164310429235+0j)
9,(0.07881450799163481+0.15424999240658932j),(-0.2213975920864439+0.13477752723034345j),(0.17321889858614253+0j),(0.2591946674374328+0j),(1.0984247017427238+0j),(2.5947584142587132+0j)
