,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(1.0863118396025722+0j),(1.1559418037399056+0j),(1.0863118396025722+0j),(1.1559418037399056+0j),0j,0j
1,(0.3964068446491899+0.07184454193817308j),(0.37097614225593-0.24350797380095313j),(0.4028647722139935+0j),(0.4437560494548076+0j),(0.17929318993159304+0j),(-0.5808597497510991+0j)
2,(-0.305970635939391-0.08138433733157159j),(0.1304400588996737-0.08740563828197043j),(0.3166092866926907+0j),(0.157017051842241+0j),(-2.8816245287626603+0j),(-0.5903638829895739+0j)
3,(-0.0607612822919969-0.052965876837684354j),(-0.15976740379259607+0.11441263155315032j),(0.0806059398242616+0j),(0.19650922007260468+0j),(-2.4246322424208806+0j),(2.520129633267528+0j)
4,(0.11795577021455642+0.11687476761498472j),(0.010576596212405823+0.08520386648771924j),(0.16605202507637754+0j),(0.08585780833388051+0j),(0.7807948653172957+0j),(1.4472952620607853+0j)
5,(0.001741627528132804+1.3877787807814457e-17j),(-0.28289992852699664+1.3877787807814457e-17j),(0.001741627528132804+0j),(0.28289992852699664+0j),(7.968286894668467e-15+0j),(3.141592653589793+0j)
6,(0.11795577021455642-0.11687476761498472j),(0.010576596212405823-0.08520386648771924j),(0.16605202507637754+0j),(0.08585780833388051+0j),(-0.7807948653172957+0j),(-1.4472952620607853+0j)
7,(-0.06076128229199682+0.052965876837684354j),(-0.15976740379259605-0.11441263155315033j),(0.08060593982426155+0j),(0.19650922007260463+0j),(2.42463224242088+0j),(-2.520129633267528+0j)
8,(-0.305970635939391+0.08138433733157159j),(0.1304400588996737+0.08740563828197043j),(0.3166092866926907+0j),(0.157017051842241+0j),(2.8816245287626603+0j),(0.5903638829895739+0j)
9,(0.3964068446491899-0.0718445419381731j),(0.37097614225593006+0.24350797380095315j),(0.4028647722139935+0j),(0.44375604945480773+0j),(-0.1792931899315931+0j),(0.5808597497510991+0j)
