,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(0.491451136717454+0j),(1.59298499593955+0j),(0.491451136717454+0j),(1.59298499593955+0j),0j,0j
1,(-0.24566606827683476+0.18397934517588263j),(0.21639289267749026-0.42642492981968816j),(0.30692053784969325+0j),(0.4781883570028215+0j),(2.4987958471047884+0j),(-1.101199853061009+0j)
2,(0.0821539852702237-0.28321547577055234j),(-0.030701326084745073+0.1540654828820012j),(0.2948902897887966+0j),(0.15709469895265737+0j),(-1.2884688901979757+0j),(1.7674942183348257+0j)
3,(0.02036566405240961+0.035030050913403776j),(0.16303828096279116+0.013421840168149485j),(0.04051993014914105+0j),(0.16358981280263568+0j),(1.0441828085201974+0j),(0.08213802506039829+0j)
4,(-0.02319129666288562-0.010262592105730495j),(0.27726807669494147-0.24921028762812744j),(0.02536054095705712+0j),(0.37280471270332133+0j),(-2.7249772204899996+0j),(-0.7321551944821798+0j)
5,(-0.12751808932006803-1.3877787807814457e-17j),(0.2622920304240072+1.3877787807814457e-17j),(0.12751808932006803+0j),(0.2622920304240072+0j),(-3.141592653589793+0j),(5.2909681568976266e-17+0j)
6,(-0.02319129666288562+0.010262592105730495j),(0.27726807669494147+0.24921028762812744j),(0.02536054095705712+0j),(0.37280471270332133+0j),(2.7249772204899996+0j),(0.7321551944821798+0j)
7,(0.020365664052409596-0.035030050913403776j),(0.16303828096279122-0.013421840168149443j),(0.04051993014914104+0j),(0.16358981280263574+0j),(-1.0441828085201976+0j),(-0.08213802506039801+0j)
8,(0.0821539852702237+0.28321547577055234j),(-0.030701326084745073-0.1540654828820012j),(0.2948902897887966+0j),(0.15709469895265737+0j),(1.2884688901979757+0j),(-1.7674942183348257+0j)
9,(-0.24566606827683476-0.1839793451758826j),(0.21639289267749023+0.42642492981968816j),(0.30692053784969325+0j),(0.4781883570028214+0j),(-2.4987958471047884+0j),(1.101199853061009+0j)
