,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(0.9340515264774429+0j),(1.0904358196786728+0j),(0.9340515264774429+0j),(1.0904358196786728+0j),0j,0j
1,(-0.22942137570299362-0.12105417955134948j),(0.14485209812006655+0.21093682181638782j),(0.25939984968442925+0j),(0.2558837101649574+0j),(-2.6560705370529765+0j),(0.9690466769225929+0j)
2,(-0.23565987396985583-0.07360505715605095j),(0.06886229848443404-0.007420895828827965j),(0.24688718200512935+0j),(0.06926099802530716+0j),(-2.8388572217025323+0j),(-0.10734999959498542+0j)
3,(-0.06009972414783975+0.30067543119283935j),(-0.21086456314181407+0.0347897433027559j),(0.3066230450661631+0j),(0.21371520822828624+0j),(1.7680787986579092+0j),(2.9780794675952764+0j)
4,(-0.2185596303941546-0.06799332481461016j),(0.10114996896680234+0.01468150273575574j),(0.22889168673714333+0j),(0.10220989553152415+0j),(-2.8399861416457632+0j),(0.14413930909087178+0j)
5,(0.5758647740051483-2.7755575615628914e-17j),(-0.14084812778070355-1.3877787807814457e-17j),(0.5758647740051483+0j),(0.14084812778070355+0j),(-4.8198078556860596e-17+0j),(-3.141592653589793+0j)
6,(-0.2185596303941546+0.06799332481461016j),(0.10114996896680234-0.01468150273575574j),(0.22889168673714333+0j),(0.10220989553152415+0j),(2.8399861416457632+0j),(-0.14413930909087178+0j)
7,(-0.06009972414783982-0.30067543119283935j),(-0.210864563141814-0.0347897433027559j),(0.3066230450661631+0j),(0.21371520822828616+0j),(-1.7680787986579094+0j),(-2.9780794675952764+0j)
8,(-0.23565987396985583+0.07360505715605095j),(0.06886229848443404+0.007420895828827965j),(0.24688718200512935+0j),(0.06926099802530716+0j),(2.8388572217025323+0j),(0.10734999959498542+0j)
9,(-0.22942137570299365+0.1210541795513495j),(0.14485209812006655-0.2109368218163878j),(0.2593998496844293+0j),(0.25588371016495737+0j),(2.6560705370529765+0j),(-0.9690466769225928+0j)
