,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(1.3109721855840726+0j),(1.5406948024989564+0j),(1.3109721855840726+0j),(1.5406948024989564+0j),0j,0j
1,(-0.36424126216313013+0.055065664352074634j),(-0.22608631575138674-0.027456923627061647j),(0.36838013580094875+0j),(0.2277474584382843+0j),(2.991549756838179+0j),(-3.020740046850002+0j)
2,(0.32853585708844424+0.04253282894736757j),(-0.22486163303055717+0.041213415172501947j),(0.3312776040288638+0j),(0.22860730434382442+0j),(0.12874566876451288+0j),(2.9603211438557175+0j)
3,(0.1786254800131677+0.20360175289916332j),(-0.05113844915280141-0.10025371225227567j),(0.2708518707588089+0j),(0.11254309308933953+0j),(0.8506494413543724+0j),(-2.0424835767150427+0j)
4,(0.24722061582801164-0.4483499442882043j),(-0.14211702173699514-0.24117848040899761j),(0.511991899773441+0j),(0.2799362557436725+0j),(-1.0668781144152433+0j),(-2.1032819243890213+0j)
5,(0.37928660730248154-2.7755575615628914e-17j),(0.21109913666315216+1.3877787807814457e-17j),(0.37928660730248154+0j),(0.21109913666315216+0j),(-7.31783698165061e-17+0j),(6.574061849413928e-17+0j)
6,(0.24722061582801164+0.4483499442882043j),(-0.14211702173699514+0.24117848040899761j),(0.511991899773441+0j),(0.2799362557436725+0j),(1.0668781144152433+0j),(2.1032819243890213+0j)
7,(0.17862548001316766-0.20360175289916332j),(-0.051138449152801455+0.10025371225227568j),(0.2708518707588089+0j),(0.11254309308933956+0j),(-0.8506494413543725+0j),(2.0424835767150427+0j)
8,(0.32853585708844424-0.04253282894736757j),(-0.22486163303055717-0.041213415172501947j),(0.3312776040288638+0j),(0.22860730434382442+0j),(-0.12874566876451288+0j),(-2.9603211438557175+0j)
9,(-0.36424126216313013-0.055065664352074606j),(-0.22608631575138677+0.02745692362706164j),(0.36838013580094875+0j),(0.22774745843828434+0j),(-2.991549756838179+0j),(3.020740046850002+0j)
