,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(0.6054527573444947+0j),(2.2073617882840284+0j),(0.6054527573444947+0j),(2.2073617882840284+0j),0j,0j
1,(-0.2144869917351383+0.14414827370918967j),(-0.049485872677838466-0.012970803464632162j),(0.258424833243496+0j),(0.05115753451062075+0j),(2.5498650233915936+0j),(-2.8852480564654495+0j)
2,(0.369912916531038-0.1840018116469216j),(0.038248921132007174-0.04214075855963409j),(0.4131491649584299+0j),(0.05691066244337592+0j),(-0.46158089176223005+0j),(-0.8337725471562596+0j)
3,(0.024195340344252733+0.12281568986970598j),(0.13845792717886682+0.08648430447143671j),(0.12517630835164464+0j),(0.1632486830531155+0j),(1.376281949110925+0j),(0.5583297197504529+0j)
4,(0.251217293738499-0.044332238089037565j),(-0.08991474703198143+0.016346833864018764j),(0.2550989533637455+0j),(0.09138862462693617+0j),(-0.17467132844259084+0j),(2.9617531704131865+0j)
5,(0.04237530210137987-1.3877787807814457e-17j),(0.40640349221634176+6.938893903907228e-18j),(0.04237530210137987+0j),(0.40640349221634176+0j),(-3.2749708248953234e-16+0j),(1.7073903243462853e-17+0j)
6,(0.251217293738499+0.044332238089037565j),(-0.08991474703198143-0.016346833864018764j),(0.2550989533637455+0j),(0.09138862462693617+0j),(0.17467132844259084+0j),(-2.9617531704131865+0j)
7,(0.024195340344252712-0.122815689869706j),(0.13845792717886685-0.08648430447143671j),(0.12517630835164467+0j),(0.1632486830531155+0j),(-1.3762819491109253+0j),(-0.5583297197504528+0j)
8,(0.369912916531038+0.1840018116469216j),(0.038248921132007174+0.04214075855963409j),(0.4131491649584299+0j),(0.05691066244337592+0j),(0.46158089176223005+0j),(0.8337725471562596+0j)
9,(-0.2144869917351383-0.14414827370918964j),(-0.049485872677838466+0.012970803464632162j),(0.258424833243496+0j),(0.05115753451062075+0j),(-2.5498650233915936+0j),(2.8852480564654495+0j)
