,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(0.7156011113667924+0j),(1.3982041138497452+0j),(0.7156011113667924+0j),(1.3982041138497452+0j),0j,0j
1,(-0.08132851158246948-0.12632500706545416j),(-0.27191108483979876+0.041409748832548554j),(0.15024092054532584+0j),(0.2750461876796895+0j),(-2.1428033102588238+0j),(2.9904623803738497+0j)
2,(-0.1312522047262567-0.1391416521275844j),(-0.2785721877994195-0.0889743002480864j),(0.19127869876778467+0j),(0.29243612964199833+0j),(-2.32702515259452+0j),(-2.832439466901521+0j)
3,(0.1076593448323881-0.15870259615769974j),(0.0677143184927234-0.2534299572144686j),(0.19177343026846286+0j),(0.26232036166234096+0j),(-0.9747339776521478+0j),(-1.3097040533776383+0j)
4,(0.09383595641079547-0.15871960654675j),(0.08031434173655108+0.32949595224438055j),(0.1843830258399179+0j),(0.33914300233678213+0j),(-1.036868223832351+0j),(1.3317094614683123+0j)
5,(-0.6550136835698244+0j),(0.22543886010734954+2.7755575615628914e-17j),(0.6550136835698244+0j),(0.22543886010734954+0j),(3.141592653589793+0j),(1.2311797354906893e-16+0j)
6,(0.09383595641079547+0.15871960654675j),(0.08031434173655108-0.32949595224438055j),(0.1843830258399179+0j),(0.33914300233678213+0j),(1.036868223832351+0j),(-1.3317094614683123+0j)
7,(0.10765934483238809+0.15870259615769974j),(0.06771431849272336+0.2534299572144686j),(0.19177343026846286+0j),(0.26232036166234096+0j),(0.9747339776521479+0j),(1.3097040533776385+0j)
8,(-0.1312522047262567+0.1391416521275844j),(-0.2785721877994195+0.0889743002480864j),(0.19127869876778467+0j),(0.29243612964199833+0j),(2.32702515259452+0j),(2.832439466901521+0j)
9,(-0.08132851158246947+0.12632500706545416j),(-0.27191108483979876-0.04140974883254857j),(0.15024092054532584+0j),(0.2750461876796895+0j),(2.1428033102588238+0j),(-2.9904623803738497+0j)
