,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(0.8703492454191553+0j),(1.819632061695156+0j),(0.8703492454191553+0j),(1.819632061695156+0j),0j,0j
1,(-0.13790678985913551+0.0014590454798221048j),(-0.03451513816243136+0.09386182670930174j),(0.1379145079495408+0j),(0.10000668615437028+0j),(3.131013108916957+0j),(1.9231718140760423+0j)
2,(-0.15482547159722046+0.10729379880635091j),(-0.10745327579431418+0.043944992022902245j),(0.18836901528011296+0j),(0.11609207037012428+0j),(2.535581245583174+0j),(2.753378903729934+0j)
3,(0.1519002290102999+0.20896065667984826j),(0.11317445042738977-0.07968773688094029j),(0.25833744524062896+0j),(0.13841456440255004+0j),(0.9422228024051299+0j),(-0.6134818343885591+0j)
4,(-0.2659884380823443+0.23931469761740543j),(0.2274597905563145-0.07224937315716787j),(0.35780074579183774+0j),(0.23865860185948912+0j),(2.4089331418834674+0j),(-0.307556883902164+0j)
5,(-0.0267250895385788-2.7755575615628914e-17j),(0.058800243275281744-6.938893903907228e-18j),(0.0267250895385788+0j),(0.058800243275281744+0j),(-3.1415926535897922+0j),(-1.1800791148808355e-16+0j)
6,(-0.2659884380823443-0.23931469761740543j),(0.2274597905563145+0.07224937315716787j),(0.35780074579183774+0j),(0.23865860185948912+0j),(-2.4089331418834674+0j),(0.307556883902164+0j)
7,(0.1519002290102999-0.20896065667984828j),(0.11317445042738977+0.0796877368809403j),(0.25833744524062896+0j),(0.13841456440255007+0j),(-0.9422228024051299+0j),(0.6134818343885591+0j)
8,(-0.15482547159722046-0.10729379880635091j),(-0.10745327579431418-0.043944992022902245j),(0.18836901528011296+0j),(0.11609207037012428+0j),(-2.535581245583174+0j),(-2.753378903729934+0j)
9,(-0.13790678985913554-0.001459045479822077j),(-0.034515138162431354-0.09386182670930175j),(0.13791450794954083+0j),(0.10000668615437028+0j),(-3.131013108916957+0j),(-1.923171814076042+0j)
