,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(0.6881045677048189+0j),(1.3287506423394468+0j),(0.6881045677048189+0j),(1.3287506423394468+0j),0j,0j
1,(0.0016341356074198472+0.21727393973583004j),(-0.2488638522558547-0.04264603196997448j),(0.21728008488472325+0j),(0.2524913879767149+0j),(1.5632753843482556+0j),(-2.971878174792396+0j)
2,(0.04860353071921991-0.24996153121881282j),(-0.15698277049991816-0.2075202039444913j),(0.2546430252090712+0j),(0.26020804230267985+0j),(-1.3787486963944846+0j),(-2.2184252752736864+0j)
3,(0.1756138559294933+0.302039739305233j),(0.04317737860976564+0.047045629972688824j),(0.34938264197581126+0j),(0.06385591063588557+0j),(1.0441459041895704+0j),(0.8282462552193196+0j)
4,(-0.087524628064736+0.12127772224980139j),(0.08091772822118068+0.07850372541575547j),(0.14956218249266873+0j),(0.11274091380075466+0j),(2.19592992241278+0j),(0.7702570498595903+0j)
5,(0.22670744181592206-2.7755575615628914e-17j),(0.08863396929937742+3.469446951953614e-18j),(0.22670744181592206+0j),(0.08863396929937742+0j),(-1.224290450869513e-16+0j),(3.914353581790886e-17+0j)
6,(-0.087524628064736-0.12127772224980139j),(0.08091772822118068-0.07850372541575547j),(0.14956218249266873+0j),(0.11274091380075466+0j),(-2.19592992241278+0j),(-0.7702570498595903+0j)
7,(0.1756138559294933-0.302039739305233j),(0.04317737860976559-0.04704562997268884j),(0.34938264197581126+0j),(0.06385591063588554+0j),(-1.0441459041895704+0j),(-0.8282462552193204+0j)
8,(0.04860353071921991+0.24996153121881282j),(-0.15698277049991816+0.2075202039444913j),(0.2546430252090712+0j),(0.26020804230267985+0j),(1.3787486963944846+0j),(2.2184252752736864+0j)
9,(0.0016341356074198315-0.21727393973582998j),(-0.2488638522558547+0.04264603196997448j),(0.2172800848847232+0j),(0.2524913879767149+0j),(-1.5632753843482556+0j),(2.971878174792396+0j)
