,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(0.6338804684824325+0j),(1.4770128413025725+0j),(0.6338804684824325+0j),(1.4770128413025725+0j),0j,0j
1,(-0.046559555666944676-0.1242590145480191j),(-0.26371240604721763+0.14411054755958463j),(0.13269549698594954+0j),(0.3005196882421115+0j),(-1.9293018609298547+0j),(2.6414647377873486+0j)
2,(0.035071684624642024-0.0773591057490225j),(-0.011076630283594346+0.29123943236324734j),(0.0849379438454852+0j),(0.29144999348379813+0j),(-1.1451500176552523+0j),(1.6088107333089159+0j)
3,(0.04893821823504335+0.17590181837354513j),(-0.007837092001717894-0.1100214521836708j),(0.18258258107262146+0j),(0.11030022643515812+0j),(1.2994452351541355+0j),(-1.6419086124240103+0j)
4,(-0.16657756990585768-0.2825747497813603j),(-0.1354150376488345-0.11516064382425925j),(0.3280191701863464+0j),(0.1777616558975899+0j),(-2.103458819777219+0j),(-2.436850576366487+0j)
5,(-0.3371200964398311+0j),(-0.004394950381938381+6.938893903907228e-18j),(0.3371200964398311+0j),(0.004394950381938381+0j),(3.141592653589793+0j),(3.141592653589792+0j)
6,(-0.16657756990585768+0.2825747497813603j),(-0.1354150376488345+0.11516064382425925j),(0.3280191701863464+0j),(0.1777616558975899+0j),(2.103458819777219+0j),(2.436850576366487+0j)
7,(0.048938218235043296-0.17590181837354513j),(-0.007837092001717939+0.11002145218367082j),(0.18258258107262143+0j),(0.11030022643515813+0j),(-1.2994452351541357+0j),(1.6419086124240108+0j)
8,(0.035071684624642024+0.0773591057490225j),(-0.011076630283594346-0.29123943236324734j),(0.0849379438454852+0j),(0.29144999348379813+0j),(1.1451500176552523+0j),(-1.6088107333089159+0j)
9,(-0.046559555666944655+0.12425901454801913j),(-0.2637124060472177-0.14411054755958463j),(0.13269549698594957+0j),(0.30051968824211156+0j),(1.9293018609298545+0j),(-2.6414647377873486+0j)
