,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(0.6203112628118987+0j),(1.514469889082442+0j),(0.6203112628118987+0j),(1.514469889082442+0j),0j,0j
1,(-0.1720661979875802+0.20582009549217908j),(0.21072040996831684+0.0658434070903831j),(0.2682698048575554+0j),(0.2207678541692278+0j),(2.2671080215741113+0j),(0.3028558103241593+0j)
2,(0.08304283912774044-0.2618105676660319j),(0.01937875907684361-0.15338559228060436j),(0.2746650441392309+0j),(0.1546049036176736+0j),(-1.263647408198747+0j),(-1.4451220161321372+0j)
3,(-0.13988786461188146-0.004345397245883786j),(-0.22750048709272092+0.21703523438490233j),(0.13995533981558764+0j),(0.314421317012595+0j),(-3.1105392066834643+0j),(2.3797321261498836+0j)
4,(-0.09106830196207436-0.2487692908699305j),(0.25692397541746653-0.03582856655572194j),(0.2649143176617369+0j),(0.25941012957429543+0j),(-1.9217197706611973+0j),(-0.13855845197017905+0j)
5,(0.04567676584258978+0j),(0.2533992297657329+0j),(0.04567676584258978+0j),(0.2533992297657329+0j),0j,0j
6,(-0.09106830196207436+0.2487692908699305j),(0.25692397541746653+0.03582856655572194j),(0.2649143176617369+0j),(0.25941012957429543+0j),(1.9217197706611973+0j),(0.13855845197017905+0j)
7,(-0.13988786461188146+0.0043453972458838j),(-0.2275004870927209-0.21703523438490235j),(0.13995533981558764+0j),(0.314421317012595+0j),(3.1105392066834643+0j),(-2.379732126149883+0j)
8,(0.08304283912774044+0.2618105676660319j),(0.01937875907684361+0.15338559228060436j),(0.2746650441392309+0j),(0.1546049036176736+0j),(1.263647408198747+0j),(1.4451220161321372+0j)
9,(-0.17206619798758022-0.20582009549217908j),(0.2107204099683168-0.06584340709038303j),(0.2682698048575554+0j),(0.22076785416922776+0j),(-2.2671080215741117+0j),(-0.30285581032415904+0j)
