,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(0.8778892418918339+0j),(1.7445139420842644+0j),(0.8778892418918339+0j),(1.7445139420842644+0j),0j,0j
1,(0.0690981186034225-0.050070721757204194j),(-0.20810459018292204-0.08795304392536389j),(0.08533245087198658+0j),(0.22592755119935887+0j),(-0.6270670691598517+0j),(-2.7417237862130928+0j)
2,(0.21006633891560111-0.24294836516856783j),(-0.3868464642113306+0.04368808587153522j),(0.3211725001980773+0j),(0.3893055814137873+0j),(-0.8578559903983662+0j),(3.029135219526009+0j)
3,(0.2633908487641986-0.07541077904213686j),(-0.2891698896122126-0.07838211493017098j),(0.2739735841435574+0j),(0.2996047079057099+0j),(-0.27884802908581197+0j),(-2.876893993441507+0j)
4,(0.20699928785168287-0.15343414620631124j),(-0.0074702526070581365+0.20957449938038414j),(0.2576640106673098+0j),(0.20970759515227838+0j),(-0.6378648407272808+0j),(1.6064260968680417+0j)
5,(-0.24855477828985545+1.3877787807814457e-17j),(0.33124203089076665+6.938893903907228e-18j),(0.24855477828985545+0j),(0.33124203089076665+0j),(3.141592653589793+0j),(2.0948108201267068e-17+0j)
6,(0.20699928785168287+0.15343414620631124j),(-0.0074702526070581365-0.20957449938038414j),(0.2576640106673098+0j),(0.20970759515227838+0j),(0.6378648407272808+0j),(-1.6064260968680417+0j)
7,(0.26339084876419855+0.07541077904213687j),(-0.28916988961221257+0.078382114930171j),(0.2739735841435573+0j),(0.29960470790570987+0j),(0.2788480290858121+0j),(2.876893993441507+0j)
8,(0.21006633891560111+0.24294836516856783j),(-0.3868464642113306-0.04368808587153522j),(0.3211725001980773+0j),(0.3893055814137873+0j),(0.8578559903983662+0j),(-3.029135219526009+0j)
9,(0.06909811860342255+0.05007072175720417j),(-0.2081045901829221+0.08795304392536386j),(0.08533245087198661+0j),(0.22592755119935892+0j),(0.6270670691598512+0j),(2.7417237862130928+0j)
