,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(0.8399011145541473+0j),(1.2851620589040764+0j),(0.8399011145541473+0j),(1.2851620589040764+0j),0j,0j
1,(-0.0373913681656803-0.23830245681346102j),(0.01073096047912422-0.07433702266065739j),(0.24121810739791674+0j),(0.07510756586959542+0j),(-1.7264345291547547+0j),(-1.4274311595202303+0j)
2,(-0.006488865457033366-0.20937592572720473j),(0.18822080269550728-0.051735671618583015j),(0.20947645129952777+0j),(0.1952015632241887+0j),(-1.6017778695686153+0j),(-0.26824247983102617+0j)
3,(0.1474854256670769+0.40984406877508667j),(-0.058265688092412365-0.06372290060097348j),(0.43557331356996243+0j),(0.08634522841410422+0j),(1.2253669812335906+0j),(-2.311488862395894+0j)
4,(0.1899441613023211-0.08605945327525438j),(0.037429459565246556+0.2612784174057865j),(0.2085306066525436+0j),(0.2639457820186162+0j),(-0.42541034838294245+0j),(1.4285093193701794+0j)
5,(0.34777412146204045+0j),(-0.15537087134519176+6.938893903907228e-18j),(0.34777412146204045+0j),(0.15537087134519176+0j),0j,(3.141592653589793+0j)
6,(0.1899441613023211+0.08605945327525438j),(0.037429459565246556-0.2612784174057865j),(0.2085306066525436+0j),(0.2639457820186162+0j),(0.42541034838294245+0j),(-1.4285093193701794+0j)
7,(0.14748542566707684-0.4098440687750867j),(-0.058265688092412365+0.06372290060097349j),(0.4355733135699625+0j),(0.08634522841410423+0j),(-1.2253669812335908+0j),(2.311488862395894+0j)
8,(-0.006488865457033366+0.20937592572720473j),(0.18822080269550728+0.051735671618583015j),(0.20947645129952777+0j),(0.1952015632241887+0j),(1.6017778695686153+0j),(0.26824247983102617+0j)
9,(-0.037391368165680325+0.23830245681346113j),(0.01073096047912422+0.07433702266065738j),(0.24121810739791688+0j),(0.07510756586959542+0j),(1.7264345291547547+0j),(1.4274311595202303+0j)
