,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(1.3352986163414384+0j),(1.5560918788413796+0j),(1.3352986163414384+0j),(1.5560918788413796+0j),0j,0j
1,(0.27198741427978923-0.13377877441704975j),(0.2967898657857523-0.1355835947858649j),(0.3031070999022187+0j),(0.3262930210840901+0j),(-0.45711160189487077+0j),(-0.42852223072772916+0j)
2,(0.022047369915050685+0.05660866153616123j),(-0.05992945662258964+0.26013663028320033j),(0.060750531529252826+0j),(0.26695056880661877+0j),(1.1994004492356365+0j),(1.7972225985074417+0j)
3,(0.03707717593238023+0.0918931342791495j),(-0.037715755764673176+0.17175335623326832j),(0.09909119588927402+0j),(0.17584565280464698+0j),(1.1872922992148716+0j),(1.7869579492748475+0j)
4,(-0.0772487030143906+0.01302608652007959j),(0.12061174311827047+0.2886675094033688j),(0.0783392688722209+0j),(0.3128515999050855+0j),(2.9745388762051688+0j),(1.1750208694115847+0j)
5,(0.54015908185243+6.938893903907228e-18j),(-0.14223526037153347-1.3877787807814457e-17j),(0.54015908185243+0j),(0.14223526037153347+0j),(1.284601913960398e-17+0j),(-3.141592653589793+0j)
6,(-0.0772487030143906-0.01302608652007959j),(0.12061174311827047-0.2886675094033688j),(0.0783392688722209+0j),(0.3128515999050855+0j),(-2.9745388762051688+0j),(-1.1750208694115847+0j)
7,(0.0370771759323803-0.09189313427914952j),(-0.03771575576467315-0.17175335623326837j),(0.09909119588927408+0j),(0.175845652804647+0j),(-1.187292299214871+0j),(-1.7869579492748473+0j)
8,(0.022047369915050685-0.05660866153616123j),(-0.05992945662258964-0.26013663028320033j),(0.060750531529252826+0j),(0.26695056880661877+0j),(-1.1994004492356365+0j),(-1.7972225985074417+0j)
9,(0.27198741427978923+0.13377877441704975j),(0.2967898657857523+0.13558359478586496j),(0.3031070999022187+0j),(0.32629302108409014+0j),(0.45711160189487077+0j),(0.4285222307277293+0j)
