,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(0.6321541577061113+0j),(1.5782053381765033+0j),(0.6321541577061113+0j),(1.5782053381765033+0j),0j,0j
1,(-0.09426981445149765+0.019533015026133457j),(0.07379043115780881-0.03501762727721426j),(0.09627220051879437+0j),(0.08167779349726106+0j),(2.9372805518136564+0j),(-0.44308529571796507+0j)
2,(0.048124534732901014+0.18511321326716518j),(0.0407076096202208-0.1875951616955827j),(0.19126649620190456+0j),(0.19196107462864473+0j),(1.3164530662270735+0j),(-1.3571120712459077+0j)
3,(-0.2595512662942763+0.043441657629269353j),(0.04976652480208649-0.17516499136352554j),(0.26316161850190267+0j),(0.18209744970828304+0j),(2.975757623015785+0j),(-1.2939783947805759+0j)
4,(-0.058027251510313196+0.11992485035162506j),(0.21247101650343803-0.21805363872453237j),(0.1332258670442824+0j),(0.30445249582654615+0j),(2.02145155915878+0j),(-0.7983644576404008+0j)
5,(0.1309779869151681-6.938893903907228e-18j),(-0.17783175914467453+0j),(0.1309779869151681+0j),(0.17783175914467453+0j),(-5.297755804111889e-17+0j),(3.141592653589793+0j)
6,(-0.058027251510313196-0.11992485035162506j),(0.21247101650343803+0.21805363872453237j),(0.1332258670442824+0j),(0.30445249582654615+0j),(-2.02145155915878+0j),(0.7983644576404008+0j)
7,(-0.2595512662942763-0.043441657629269353j),(0.0497665248020865+0.17516499136352556j),(0.26316161850190267+0j),(0.18209744970828304+0j),(-2.975757623015785+0j),(1.2939783947805759+0j)
8,(0.048124534732901014-0.18511321326716518j),(0.0407076096202208+0.1875951616955827j),(0.19126649620190456+0j),(0.19196107462864473+0j),(-1.3164530662270735+0j),(1.3571120712459077+0j)
9,(-0.09426981445149767-0.019533015026133447j),(0.07379043115780884+0.03501762727721423j),(0.09627220051879438+0j),(0.08167779349726108+0j),(-2.937280551813657+0j),(0.4430852957179646+0j)
