,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(0.7647049141546596+0j),(1.7753227122759907+0j),(0.7647049141546596+0j),(1.7753227122759907+0j),0j,0j
1,(-0.2807605888445858+0.002671961898802297j),(-0.1640434446670602-0.032022226962337585j),(0.2807733029131282+0j),(0.167139686364018+0j),(3.132076071341075+0j),(-2.9488111513833197+0j)
2,(-0.028576074823765785+0.015582569006476317j),(0.4220199072579129-0.015139204323446398j),(0.03254855617650431+0j),(0.4222913658003493+0j),(2.6423640929247747+0j),(-0.03585782312002459+0j)
3,(-0.2631562801763301-0.017465702130284148j),(0.12032678250267115-0.034416434145528314j),(0.2637352432784571+0j),(0.1251520096791842+0j),(-3.0753197746362333+0j),(-0.27858663976169334+0j)
4,(-0.04717356111540913-0.0055386726568318785j),(-0.24677652495066116+0.2911372867460394j),(0.04749759744564747+0j),(0.3816537344250281+0j),(-3.024717218439375+0j),(2.2739125271490437+0j)
5,(0.49721302191941347+1.214306433183765e-17j),(0.12594717386085033+3.469446951953614e-18j),(0.49721302191941347+0j),(0.12594717386085033+0j),(2.44222572549714e-17+0j),(2.754684242289349e-17+0j)
6,(-0.04717356111540913+0.0055386726568318785j),(-0.24677652495066116-0.2911372867460394j),(0.04749759744564747+0j),(0.3816537344250281+0j),(3.024717218439375+0j),(-2.2739125271490437+0j)
7,(-0.26315628017633+0.01746570213028415j),(0.12032678250267115+0.03441643414552831j),(0.26373524327845704+0j),(0.1251520096791842+0j),(3.0753197746362333+0j),(0.2785866397616933+0j)
8,(-0.028576074823765785-0.015582569006476317j),(0.4220199072579129+0.015139204323446398j),(0.03254855617650431+0j),(0.4222913658003493+0j),(-2.6423640929247747+0j),(0.03585782312002459+0j)
9,(-0.2807605888445859-0.002671961898802311j),(-0.16404344466706022+0.03202222696233758j),(0.28077330291312824+0j),(0.16713968636401802+0j),(-3.132076071341075+0j),(2.94881115138332+0j)
